排名,公司,国家地区,营业收入百万美元,利润百万美元,资产百万美元,股东权益百万美元,雇员人数,ticker
1,WAL-MART STORES,美国,378799,12731,163514,64608,2055000,WMT
2,EXXON MOBIL,美国,372824,40610,242082,121762,107100,XOM
3,ROYAL DUTCH SHELL,荷兰,355782,31331,269470,123960,104000,SHEL
4,BP,英国,291438,20845,236076,93690,97600,BP
5,TOYOTA MOTOR,日本,230200,15042,326099,119250,316121,TM
6,CHEVRON,美国,210783,18688,148786,77088,65035,CVX
7,ING GROUP,荷兰,201516,12649,1918970,54400,120282,
8,TOTAL,法国,187280,18042,166004,65585,96442,
9,GENERAL MOTORS,美国,182347,-38732,148883,-37094,266000,GM
10,CONOCOPHILLIPS,美国,178558,11891,177757,88983,32600,COP
11,DAIMLER,德国,177167,5446,197516,53684,272382,DDAIF
12,GENERAL ELECTRIC,美国,176656,22208,795337,115559,327000,GE
13,FORD MOTOR,美国,172468,-2723,279264,5628,246000,F
14,FORTIS,比利时/荷兰,164877,5467,1273717,48317,62009,
15,AXA,法国,162762,7755,1056963,66731,103534,AXAHY
16,SINOPEC,中国,159260,4166,136303,48416,634011,
17,CITIGROUP,美国,159229,3617,2187631,113598,380500,C
18,VOLKSWAGEN,德国,149054,5639,212521,46603,329305,VLKAY
19,DEXIA GROUP,比利时,147648,3467,883909,21236,35202,
20,HSBC HOLDINGS,英国,146500,19133,2354266,128160,322282,HSBC
21,BNP PARIBAS,法国,140727,10707,2477395,78657,162700,BNPQY
22,ALLIANZ,德国,140618,10904,1551465,69818,181207,ALIZY
23,CREDIT AGRICOLE,法国,138155,8172,2252836,94679,163126,CRARY
24,STATE GRID,中国,132885,4423,186436,71415,1486000,
25,CHINA NATIONAL PETROLEUM,中国,129798,14925,218920,141805,1117345,
26,DEUTSCHE BANK,德国,122644,8861,2953873,54161,78291,
27,ENI,意大利,120565,13703,148341,59108,75862,
28,BANK OF AMERICA CORP.,美国,119190,14982,1715746,146803,209718,BAC
29,AT&T,美国,118928,11951,275644,115367,309050,T
30,BERKSHIRE HATHAWAY,美国,118245,13213,273160,120733,232781,BRK-B
31,UBS,瑞士,117206,-3654,2007346,31432,83560,UBS
32,J.P. MORGAN CHASE & CO.,美国,116353,15365,1562147,123221,180667,JPM
33,CARREFOUR,法国,115585,3147,75928,15546,490042,CRRFY
34,ASSICURAZIONI GENERALI,意大利,113813,3991,559302,21623,67306,
35,AMERICAN INTERNATIONAL GROUP,美国,110064,6200,1060505,95801,116000,
36,ROYAL BANK OF SCOTLAND,英国,108392,15103,3783151,105577,233600,
37,SIEMENS,德国,106444,5063,130203,41236,386200,SIEGY
38,SAMSUNG ELECTRONICS,韩国,106007,7986,99754,55195,144000,005930.KS
39,ARCELORMITTAL,卢森堡,105216,10368,133625,56685,311466,
40,HONDA MOTOR,日本,105102,5254,126745,45655,178960,HMC
41,HEWLETT-PACKARD,美国,104286,7264,88699,38526,172000,HPQ
42,PEMEX,墨西哥,103961,-1675,121883,4573,141146,
43,SOCIETE GENERALE,法国,103443,1296,1566981,39828,134738,
44,MCKESSON,美国,101703,990,24603,6121,32900,MCK
45,HBOS,英国,100267,8093,1327617,43492,65608,
46,INTERNATIONAL BUSINESS MACHINES,美国,98786,10418,120431,28470,386558,IBM
47,GAZPROM,俄罗斯,98642,19269,279812,202335,436096,OGZPY
