rank,company,ticker,start_date,end_date,start_price,end_price,total_return
1,WAL-MART STORES,WMT,2008-10-15,2025-10-22,11.680262565612793,107.13999938964844,8.172738950669936
2,EXXON MOBIL,XOM,2008-10-15,2025-10-22,33.483802795410156,114.70999908447266,2.4258354639514454
3,ROYAL DUTCH SHELL,SHEL,2008-10-15,2025-10-22,19.049301147460938,74.54000091552734,2.9130044896929306
4,BP,BP,2008-10-15,2025-10-22,16.489116668701172,34.31999969482422,1.0813728463677346
5,TOYOTA MOTOR,TM,2008-10-15,2025-10-22,41.98462677001953,203.50999450683594,3.847250295247564
6,CHEVRON,CVX,2008-10-15,2025-10-22,30.524770736694336,155.57000732421875,4.096516814693237
7,ING GROUP,ING,2008-10-15,2025-10-22,8.516194343566895,23.799999237060547,1.7946754473773825
8,TOTAL,TTE,2008-10-15,2025-10-22,17.29499626159668,62.25,2.59930693585782
9,GENERAL MOTORS,GM,2010-11-18,2025-10-22,25.54681396484375,67.30999755859375,1.634770725274095
10,CONOCOPHILLIPS,COP,2008-10-15,2025-10-22,20.564559936523438,87.41000366210938,3.2505166136264307
11,DAIMLER,MBG.DE,2008-10-15,2025-10-22,8.5740966796875,52.959999084472656,5.176743867367132
12,GENERAL ELECTRIC,GE,2008-10-15,2025-10-22,62.43084716796875,297.8900146484375,3.7715196599362377
13,FORD MOTOR,F,2008-10-15,2025-10-22,1.1966584920883179,12.430000305175781,9.38725784119401
15,AXA,CS.PA,2008-10-15,2025-10-22,7.702956199645996,39.34000015258789,4.107130189107895
16,SINOPEC,0386.HK,2008-10-15,2025-10-23,1.4407179355621338,4.179999828338623,1.901331152449134
17,CITIGROUP,C,2008-10-15,2025-10-22,119.3594741821289,96.30000305175781,-0.19319347113732233
18,VOLKSWAGEN,VWAGY,2008-10-15,2025-10-22,33.5200080871582,10.40999984741211,-0.6894392202906339
20,HSBC HOLDINGS,HSBC,2008-10-15,2025-10-22,28.469745635986328,66.44999694824219,1.3340565735244247
21,BNP PARIBAS,BNP.PA,2008-10-15,2025-10-22,26.904478073120117,68.37000274658203,1.54121275130364
22,ALLIANZ,ALV.DE,2008-10-15,2025-10-22,34.67266082763672,351.70001220703125,9.1434387731414
23,CREDIT AGRICOLE,ACA.PA,2008-10-15,2025-10-22,4.752808570861816,16.350000381469727,2.440071304724359
25,CHINA NATIONAL PETROLEUM,0857.HK,2008-10-15,2025-10-23,2.8371036052703857,7.96999979019165,1.8092029404164398
26,DEUTSCHE BANK,DBK.DE,2008-10-15,2025-10-22,19.701210021972656,28.575000762939453,0.4504185647008434
27,ENI,E,2008-10-15,2025-10-22,14.058208465576172,35.43000030517578,1.5202358032982612
28,BANK OF AMERICA CORP.,BAC,2008-10-15,2025-10-22,18.069305419921875,51.099998474121094,1.8280001520026348
29,AT&T,T,2008-10-15,2025-10-22,5.410550594329834,25.549999237060547,3.722254933506493
30,BERKSHIRE HATHAWAY,BRK-B,2008-10-15,2025-10-22,75.91999816894531,491.80999755859375,5.478003285302582
31,UBS,UBS,2008-10-15,2025-10-22,11.542344093322754,38.060001373291016,2.2974239084856887
32,J.P. MORGAN CHASE & CO.,JPM,2008-10-15,2025-10-22,25.19496726989746,294.1099853515625,10.673362469613538
33,CARREFOUR,CA.PA,2008-10-15,2025-10-22,14.912529945373535,13.475000381469727,-0.09639743015904478
34,ASSICURAZIONI GENERALI,G.MI,2008-10-15,2025-10-22,10.56445598602295,32.279998779296875,2.055528729733377
35,AMERICAN INTERNATIONAL GROUP,AIG,2008-10-15,2025-10-22,30.70733070373535,78.94000244140625,1.5707217342666553
36,ROYAL BANK OF SCOTLAND,NWG.L,2008-10-15,2025-10-22,696.9518432617188,544.7999877929688,-0.21831042838868575
37,SIEMENS,SIE.DE,2008-10-15,2025-10-22,22.2109432220459,242.0,9.895530080856641
38,SAMSUNG ELECTRONICS,005930.KS,2008-10-15,2025-10-23,7927.294921875,96550.0,11.179438377342917
39,ARCELORMITTAL,MT,2008-10-15,2025-10-22,44.748836517333984,38.81999969482422,-0.132491418412927
40,HONDA MOTOR,HMC,2008-10-15,2025-10-22,14.522024154663086,31.84000015258789,1.1925318270706722
41,HEWLETT-PACKARD,HPQ,2008-10-15,2025-10-22,11.200332641601562,27.65999984741211,1.4695694969517388
43,SOCIETE GENERALE,GLE.PA,2008-10-15,2025-10-22,24.64430809020996,52.880001068115234,1.145728777393511
44,MCKESSON,MCK,2008-10-15,2025-10-22,37.504608154296875,795.6199951171875,20.21392634856882
46,INTERNATIONAL BUSINESS MACHINES,IBM,2008-10-15,2025-10-22,47.62766647338867,287.510009765625,5.036617601793853
48,HITACHI,6501.T,2008-10-15,2025-10-23,436.7679443359375,4429.0,9.140396193071945
49,VALERO ENERGY,VLO,2008-10-15,2025-10-22,9.254007339477539,161.8699951171875,16.491880995885
50,NISSAN MOTOR,7201.T,2008-10-15,2025-10-23,360.60498046875,376.3999938964844,0.043801428940893894
51,TESCO,TSCO.L,2008-10-15,2025-10-22,421.24615478515625,448.20001220703125,0.06398600228320661
52,E.ON,EOAN.DE,2008-10-15,2025-10-22,10.305267333984375,16.104999542236328,0.562792989282848
53,VERIZON COMMUNICATIONS,VZ,2008-10-15,2025-10-22,10.366179466247559,39.79999923706055,2.839408662241471
54,NIPPON TELEGRAPH & TELEPHONE,9432.T,2008-10-15,2025-10-23,23.76630973815918,160.10000610351562,5.7364268103625315
55,DEUTSCHE POST,DHL.DE,2008-10-15,2025-10-22,10.53846549987793,39.470001220703125,2.745327175114851
57,NESTLE,NESN.SW,2008-10-15,2025-10-22,24.98998260498047,81.83999633789062,2.274912097040837
58,SANTANDER CENTRAL HISPANO GROUP,SAN,2008-10-15,2025-10-22,4.507434368133545,9.770000457763672,1.1675302755011097
59,STATOIL HYDRO,EQNR,2008-10-15,2025-10-22,6.6010236740112305,23.969999313354492,2.631254862442978
60,CARDINAL HEALTH,CAH,2008-10-15,2025-10-22,17.68651008605957,159.52000427246094,8.019303610280579
61,GOLDMAN SACHS GROUP,GS,2008-10-15,2025-10-22,84.52191162109375,744.5999755859375,7.809549633992319
62,MORGAN STANLEY,MS,2008-10-15,2025-10-22,12.643794059753418,158.1199951171875,11.505739524855183
63,PETROBRAS,PBR,2008-10-15,2025-10-22,6.089980125427246,11.729999542236328,0.9261145850477472
64,DEUTSCHE TELEKOM,DTE.DE,2008-10-15,2025-10-22,4.586688041687012,30.030000686645508,5.547208010161574
65,HOME DEPOT,HD,2008-10-15,2025-10-22,12.975421905517578,388.9700012207031,28.977445361934645
67,LG,066570.KS,2008-10-15,2025-10-23,91527.6796875,89800.0,-0.01887603502458235
69,AVIVA,AV.L,2008-10-15,2025-10-22,382.55023193359375,664.4000244140625,0.7367654466077924
70,BARCLAYS,BARC.L,2008-10-15,2025-10-22,220.31744384765625,382.0,0.7338618010843618
72,MATSUSHITA ELECTRIC INDUSTRIAL,6752.T,2008-10-15,2025-10-23,1144.7900390625,1817.5,0.587627370944283
73,BASF,BAS.DE,2008-10-15,2025-10-22,11.685523986816406,43.11000061035156,2.6891799339925373
75,SONY,SONY,2008-10-15,2025-10-22,4.074826240539551,28.75,6.0555155736390835
76,TELEFONICA,TEF,2008-10-15,2025-10-22,5.999271392822266,5.320000171661377,-0.1132256196933501
77,UNICREDIT GROUP,UCG.MI,2008-10-15,2025-10-22,43.82168960571289,61.58000183105469,0.4052402448450254
78,BMW,BMW.DE,2008-10-15,2025-10-22,10.147194862365723,80.4800033569336,6.931256317489348
79,PROCTER & GAMBLE,PG,2008-10-15,2025-10-22,36.46839904785156,152.1999969482422,3.1734762403069796
80,CVS CAREMARK,CVS,2008-10-15,2025-10-22,18.15199851989746,82.01000213623047,3.517959939581007
81,UNITEDHEALTH GROUP,UNH,2008-10-15,2025-10-22,16.99418067932129,361.489990234375,20.271398548459597
82,HYUNDAI MOTOR,005380.KS,2008-10-15,2025-10-23,44857.66015625,252000.0,4.617769609966804
84,FRANCE TELECOM,ORA.PA,2008-10-15,2025-10-22,6.449718475341797,14.069999694824219,1.181490517549852
85,VODAFONE,VOD.L,2008-10-15,2025-10-22,117.37309265136719,88.26000213623047,-0.24803888061134427
86,SK HOLDINGS,034730.KS,2009-11-11,2025-10-23,26253.09765625,230000.0,7.7608709269873355
87,KROGER,KR,2008-10-15,2025-10-22,8.948452949523926,68.5999984741211,6.6661294260669655
88,NOKIA,NOK,2008-10-15,2025-10-22,8.641228675842285,5.550000190734863,-0.35773020262145894
89,THYSSENKRUPP,TKA.DE,2008-10-15,2025-10-22,13.046686172485352,9.1899995803833,-0.2956066039386739
92,REPSOL YPF,YPF,2008-10-15,2025-10-22,30.682512283325195,24.75,-0.19335158179173273
93,BOEING,BA,2008-10-15,2025-10-22,31.514013290405273,216.58999633789062,5.872815415224611
94,PRUDENTIAL,PRU,2008-10-15,2025-10-22,24.14926528930664,102.08999633789062,3.227457652017941
96,AMERISOURCEBERGEN,COR,2008-10-15,2025-10-22,10.263175010681152,330.79998779296875,31.231739929280813
98,MUNICH RE GROUP,MUV2.DE,2008-10-15,2025-10-22,42.83969497680664,549.5999755859375,11.82922242755207
99,COSTCO WHOLESALE,COST,2008-10-15,2025-10-22,37.44643783569336,944.6799926757812,24.227499524008852
