rank,company,ticker,start_date,end_date,start_price,end_price,total_return
96,AMERISOURCEBERGEN,COR,2008-10-15,2025-10-22,10.263175010681152,330.79998779296875,31.231739929280813
65,HOME DEPOT,HD,2008-10-15,2025-10-22,12.975421905517578,388.9700012207031,28.977445361934645
99,COSTCO WHOLESALE,COST,2008-10-15,2025-10-22,37.44643783569336,944.6799926757812,24.227499524008852
81,UNITEDHEALTH GROUP,UNH,2008-10-15,2025-10-22,16.99418067932129,361.489990234375,20.271398548459597
44,MCKESSON,MCK,2008-10-15,2025-10-22,37.504608154296875,795.6199951171875,20.21392634856882
49,VALERO ENERGY,VLO,2008-10-15,2025-10-22,9.254007339477539,161.8699951171875,16.491880995885
98,MUNICH RE GROUP,MUV2.DE,2008-10-15,2025-10-22,42.83969497680664,549.5999755859375,11.82922242755207
62,MORGAN STANLEY,MS,2008-10-15,2025-10-22,12.643794059753418,158.1199951171875,11.505739524855183
38,SAMSUNG ELECTRONICS,005930.KS,2008-10-15,2025-10-23,7927.294921875,96550.0,11.179438377342917
32,J.P. MORGAN CHASE & CO.,JPM,2008-10-15,2025-10-22,25.19496726989746,294.1099853515625,10.673362469613538
