排名,公司名称,国家地区,营业收入百万美元,利润百万美元,资产额百万美元,雇员人数
1,MITSUBISHI,日本,"184,365.2",346.2,"91,920.6","36,000"
2,MITSUI,日本,"181,518.7",314.8,"68,770.9","80,000"
3,ITOCHU,日本,"169,164.6",121.2,"65,708.9","7,182"
4,GENERAL MOTORS,美国,"168,829.0","6,881.0","217,123.4","709,000"
5,SUMITOMO,日本,"176,530.7",210.5,"50,268.9","6,193"
6,MARUBENI,日本,"161,057.4",156.6,"71,439.3","6,702"
7,FORD MOTOR,美国,"137,137.0","4,139.0","243,283.0","346,990"
8,TOYOTA MOTOR,日本,"111,052.0","2,662.4","106,004.2","146,855"
9,EXXON,美国,"110,009.0","6,470.0","91,296.0","82,000"
10,ROYAL DUTCH/SHELL GROUP,英国/荷兰,"109,833.7","6,904.6","118,011.6","104,000"
11,NISSHO IWAI,日本,"97,886.4",(259.5),"46,753.8","17,005"
12,WAL-MART STORES,美国,"9,362.7","2,740.0","37,871.0","675,000"
13,HITACHI,日本,"84,167.1","1,468.8","91,620.9","331,852"
14,NIPPONLIFEINSURANCE,日本,"83,206.7","2,426.6","364,762.5","89,690"
15,NIPPON TELEGRAPH&TELEPHONE,日本,"81,937.2","2,209.1","127,077.3","231,400"
16,AT&T,美国,"79,609.0",139.0,"88,884.0","299,300"
17,DAIMLER-BENZ,德国,"72,256.1","(3,959.3)","63,813.2","310,993"
18,INTL BUSINESS MACHINES,美国,"71,940.0","4,178.0","80,292.0","252,215"
19,MATSUSHITA ELECTRIC INDUSTRIAL,日本,"70,398.4",(589.2),"74,876.9","265,538"
20,GENERAL ELECTRIC,美国,"70,028.0","6,573.0","228,035.0","222,000"
21,TOMEN,日本,"67,755.8",46.2,"22,365.6","2,943"
22,MOBIL,美国,"66,724.0","2,376.0","42,138.0","50,400"
23,NISSAN MOTOR,日本,"62,568.5",(916.1),"66,276.6","139,856"
24,VOLKSWAGEN,德国,"61,489.1",247.0,"58,610.7","242,420"
25,SIEMENS,德国,"60,673.6","1,268.0","57,346.6","373,000"
26,DAI-ICHI MUTUAL LIFE INSURANCE,日本,"58,052.4","1,732.2","265,010.3","70,038"
27,BRITISH PETROLEUM,英国,"56,981.9","1,770.7","50,258.8","56,650"
28,METRO HOLDING,瑞士,"56,459.0",403.5,"25,061.1","178,594"
29,U.S.POSTAL SERVICE,美国,"54,293.5","1,770.3","48,921.2","870,160"
30,CHRYSLER,美国,"53,195.0","2,025.0","53,756.0","126,000"
31,PHILIP MORRIS,美国,"53,139.0","5,450.0","53,811.0","151,000"
32,TOSHIBA,日本,"53,046.9",936.5,"51,967.1","186,000"
33,TOKYO ELECTRIC POWER,日本,"52,361.5",536.9,"131,485.4","43,448"
34,DAEWOO,韩国,"51,215.3",N.A,"63,597.8","196,000"
35,NICHIMEN,日本,"50,841.9",44.3,"19,765.9","2,443"
36,SUMITOMO LIFE INSURANCE,日本,"50,710.5","1,871.6","218,593.3","70,000"
37,KANEMATSU,日本,"49,838.5",3.5,"16,232.1","11,759"
38,UNILEVER,英国/荷兰,"49,738.0","2,324.7","30,077.3","308,000"
39,NESTLE,瑞士,"47,780.4","2,468.4","38,354.4","220,172"
40,SONY,日本,"47,581.5",562.1,"47,156.3","151,000"
41,FIAT,意大利,"46,467.6","1,318.0","64,300.1","237,426"
42,VEBA GROUP,德国,"46,279.9","1,336.3","47,229.7","125,158"
43,DEUTSCHE DELEKOM,德国,"46,148.7","3,678.8","111,709.3","220,000"
44,ALLIANZ HOLDING,德国,"46,044.9",592.4,"164,654.8","67,785"
45,KEC,日本,"45,557.3",799.5,"43,767.5","152,719"
46,HONDA MOTOR,日本,"44,055.6",733.5,"32,860.9","96,800"
47,ELF AQUITAINE,法国,"43,618.4","1,009.2","49,453.6","85,500"
48,ELECTRICITE DE FRANCE,法国,"43,507.8",246.8,"139,841.0","116,909"
49,UNION DES ASSURANCES DE PARIS,法国,"42,004.2",(413.9),"183,861.8","51,284"
50,IRI,意大利,"41,903.2",391.7,"115,041.0","263,063"
51,PRUDENTIAL INS.CO.OF AMERICA,美国,"41,330.0",579.0,"219,380.0","92,966"
52,STATE FARM GROUP,美国,"40,809.9","1,271.2","85,262.3","71,437"
53,PHILIPS ELECTRONICS,荷兰,"40,148.2","1,568.3","32,580.0","265,113"
54,FUJITSU,日本,"38,976.0",653.9,"40,415.8","165,056"
55,DEUTSCHE BANK,德国,"38,420.0","1,437.5","503,077.7","74,119"
56,INDUSTRIAL BANK OF IAPAN,日本,"38,228.7",(658.4),"380,726.5","5,362"
57,MEIJIMUTUAL LIFE INSURANCE,日本,"38,046.8","1,458.8","155,413.3","46,936"
58,E.I.DU PONT DE NEMOURS,美国,"37,607.0","3,293.0","37,312.0","105,000"
59,RWE GROUP,德国,"37,233.4",726.3,"52,947.6","137,331"
60,PENAULT,法国,"36,894.7",428.7,"45,534.7","139,950"
61,TEXACO,美国,"36,787.0",607.0,"24,937.0","28,247"
62,MITSUBISHI MOTORS,日本,"36,645.4",132.0,"28,109.7","28,383"
63,HOECHST,德国,"36,408.9","1,192.5","36,728.5","161,618"
64,ENI,意大利,"36,393.4","2,656.4","56,015.5","86,422"
65,MITSUBISHI ELECTRIC,日本,"36,379.6",613.4,"34,985.2","111,585"
66,SEARS ROEBUCK,美国,"35,181.0","1,801.0","33,130.0","275,000"
67,SAMSUNG,韩国,"35,060.0",119.1,"11,339.7","18,257"
68,SANWA BANK,日本,"34,885.6","(1,294.5)","520,118.1","14,403"
69,KMART,美国,"34,654.0",(571.0),"15,397.0","250,000"
70,ABB ASEA BROWN BOVERI,瑞士,"33,738.0","1,315.0","32,076.0","209,637"
71,PROCTER&GAMBLE,美国,"33,434.0","2,645.0","28,125.0","99,200"
72,ING GROUP,荷兰,"33,416.2","1,649.9","247,124.4","52,144"
73,DAIEI,日本,"33,149.3",53.4,"20,341.9","40,723"
74,PEUGEOT,法国,"33,074.3",341.4,"29,585.5","139,300"
75,MITSUBISHI BANK,日本,"3,270.2",152.9,"497,394.5","14,977"
76,CIE GENERALE DES EAUS,法国,"32,664.6",(738.9),"47,322.3","221,157"
77,CREDIT AGRICOLE,法国,"32,343.2","1,304.9","386,584.8","72,607"
78,BASF,德国,"32,258.5","1,723.9","29,303.1","106,565"
79,BMW(BAYERISCHE MOTOREN WERKE),德国,"32,199.1",479.4,"28,474.7","115,763"
80,ALCATEL ALSTHOM,法国,"32,154.4","(5,128.0)","52,205.2","191,800"
81,CHEVRON,美国,"32,094.0",930.0,"34,330.0","43,019"
82,CITICORP,美国,"31,690.0","3,464.0","265,853.0","85,300"
83,FUJI BANK,日本,"31,571.7","(33,715.5)","508,424.3","15,780"
84,HEWLETT-PACKARD,美国,"31,519.0","2,433.0","24,427.0","102,300"
85,MITSUBISHI HEAVY INDUSTRIES,日本,"31,249.1","1,075.3","38,999.2","67,372"
86,GAN,法国,"31,224.6",(357.9),"16,940.7","35,801"
87,BAYER,德国,"31,107.8","1,670.5","30,879.1","142,900"
88,NIPPON STEEL,日本,"30,614.1",565.0,"42,311.3","93,900"
89,PEPSICO,美国,"31,421.0","1,606.0","25,432.0","480,000"
90,ITO-YOKADO,日本,"30,367.6",805.2,"16,361.0","10,105"
91,DAI-ICHI KANGYO BANK,日本,"30,345.2",816.0,"515,704.8","18,069"
92,FRANCE TELECOM,法国,"30,060.2","1,842.7","57,921.2","167,661"
93,LONG-TERM CREDIT BANK OF JAPAN,日本,"29,307.4",(361.1),"304,127.6","3,830"
94,VIAG,德国,"29,260.3",807.9,"30,046.0","83,770"
95,CARREFOUR,法国,"28,986.6",708.8,"13,199.2","102,900"
96,CREDIT LYONNAIS,法国,"28,495.7",2.6,"339,567.1","59,018"
97,THYSSEN,德国,"28,032.1",512.2,"17,537.4","126,444"
98,METROPOLITAN LIFE INSURANCE,美国,"27,977.0",(559.4),"158,800.0","40,797"
99,SUMITOMO BANK,日本,"27,957.2",388.9,"524,668.4","16,455"
100,AMOCO,美国,"27,665.0","1,862.0","29,854.0","42,689"
101,TOTAL,法国,"27,226.1",450.6,"28,373.9","53,536"
102,MOTOROLA,美国,"27,037.0","1,781.0","22,801.0","142,000"
103,KANSAI ELECTRIC POWER,日本,"26,736.3",644.4,"63,748.4","27,141"
104,HSBC HOLDINGS,英国,"26,677.6","3,885.5","352,361.8","101,070"
105,ABN AMRO HOLDING,荷兰,"26,534.6","1,629.3","340,833.2","63,694"
106,AXA,法国,"26,173.2",547.2,"192,656.3","36,625"
107,PDVSA,委内瑞拉,"26,041.0","3,103.0","40,502.0","53,457"
108,SAKURA BANK,日本,"25,955.4","(1,883.2)","494,687.1","20,261"
109,AMERICAN INTERNATIONAL GROUP,美国,"25,874.0","2,510.4","134,136.4","32,000"
110,EAST JAPAN RAILWAY,日本,"25,623.7",709.0,"68,652.0","79,298"
111,SSANGYONG,韩国,"25,392.0",60.1,"22,511.0","35,000"
112,ASAHI MUTUAL LIFE INSURANCE,日本,"25,322.3",992.0,"114,462.5","38,607"
113,NIPPON OIL,日本,"25,042.6",171.9,"25,856.0","11,921"
114,ROBERT BOSCH,德国,"25,011.8",334.2,"19,870.3","156,771"
115,ZURICH INSURANCE,瑞士,"24,823.2",739.4,"83,063.9","36,522"
116,CS HOLDING,瑞士,"24,794.5","1,185.1","357,646.4","34,214"
117,NORINCHUKIN BANK,日本,"24,593.0",(560.4),"431,604.9","3,275"
118,SUNKYONG,韩国,"24,218.0",475.0,"23,463.0","24,600"
119,ASSICURAZIONI GRNERAL,意大利,"24,151.3",426.7,"79,760.5","38,236"
120,SAMSUNG ELECTRONICS,韩国,"24,150.9","2,865.6","21,877.5","75,000"
121,CONAGRA,美国,"24,108.9",495.6,"10,801.0","90,871"
