排名,公司名称,国家地区,营业收入百万美元,利润百万美元,资产额百万美元,股东权益百万美元,雇员人数
1,GENERAL MOTORS,美国,"178,174.0","6,698.0","228,888.0","17,506.0","608,000"
2,FORD MOTOR,美国,"153,627.0","6,920.0","279,097.0","30,734.0","363,892"
3,MITSUI,日本,"142,688.3",268.7,"55,070.5","5,272.1","40,000"
4,MITSUBISHI,日本,"128,922.3",388.1,"71,407.8","7,569.4","36,000"
5,ROYAL DUTCH/SHELL GROUP,英国/荷兰,"128,141.7","7,758.2","113,781.4","59,981.8","105,000"
6,ITOCHU,日本,"126,631.9",-773.9,"56,307.9","2,956.6","6,675"
7,EXXON,美国,"122,379.0","8,460.0","94,064.0","43,660.0","80,000"
8,WAL-MART STORES,美国,"119,299.0","3,526.0","45,525.0","18,502.0","825,000"
9,MARUBENI,日本,"111,121.2",140.4,"55,403.4","3,563.9","64,000"
10,SUMITOMO,日本,"102,395.2",209.8,"42,866.1","4,318.6","29,500"
11,TOYOTA MOTOR,日本,"95,137.0","3,701.3","103,893.8","45,158.2","159,035"
12,GENERAL ELECTRIC,美国,"90,840.0","8,203.0","304,012.0","34,438.0","276,000"
13,NISSHO IWAI,日本,"81,893.8",24.7,"40,799.3","2,019.6","18,158"
14,INTL.BUSINESS MACHINES,美国,"78,508.0","6,093.0","81,499.0","19,816.0","269,465"
15,NIPPON TELEGRAPH&TELEPHONE,日本,"76,983.7","2,361.3","113,409.5","35,989.7","226,000"
16,AXA,法国,"76,874.4","1,357.0","401,206.0","13,075.0","80,613"
17,DAIMLER-BENZ,德国,"71,561.4","4,639.2","76,190.7","19,510.8","300,068"
18,DAEWOO,韩国,"71,525.8",526.9,"44,860.6","6,325.3","265,044"
19,NIPPON LIFE INSURANCE,日本,"71,388.2","2,118.3","316,530.4","5,575.3","75,851"
20,BRITISH PETROLEUM,英国,"71,193.5","4,046.2","54,099.1","23,221.3","56,450"
21,HITACHI,日本,"68,567.0",28.3,"75,837.5","24,302.5","331,494"
