排名,公司名称,国家,营业收入百万美元,利润百万美元,资产百万美元,雇员人数
1,GENERAL MOTORS,美国,"161,315.00","2,956.00","257,389.00","594,000"
2,DAIMLERCHRYSLER,德国,"154,615.00","5,656.00","159,738.00","441,502"
3,FORD MOTOR,美国,"144,416.00","22,071.00","237,545.00","345,175"
4,WAL-MART STORES,美国,"139,208.00","4,430.00","49,271.00","910,000"
5,MITSUI,日本,"109,372.90",233.00,"56,264.20","32,961"
6,ITOCHU,日本,"108,749.10",-266.70,"56,846.90","5,775"
7,MITSUBISHI,日本,"107,184.40",244.00,"74,664.70","36,000"
8,EXXON,美国,"100,697.00","6,370.00","92,630.00","79,000"
9,GENERAL ELECTRIC,美国,"100,469.00","9,296.00","355,935.00","293,000"
10,TOYOTA MOTOR,日本,"99,740.10","2,786.50","124,562.20","183,879"
11,ROYAL DUTCH/SHELL GROUP,英国/荷兰,"93,692.00",350.00,"110,068.00","102,000"
12,MARUBENI,日本,"93,568.60",-921.00,"54,979.50","65,000"
13,SUMITOMO,日本,"89,020.70",-102.30,"45,502.30","30,700"
14,IBM,美国,"81,667.00","6,328.00","86,100.00","291,067"
15,AXA,法国,"78,729.30","1,702.40","451,874.60","87,896"
16,CITIGROUP,美国,"76,431.00","5,807.00","668,641.00","170,100"
17,VOLKSWAGEN,德国,"76,306.60","1,261.30","70,458.70","297,916"
18,NIPPON TELEGRAPH&TELEPHONE,日本,"76,118.70","4,715.10","147,011.10","224,400"
19,BP AMOCO,英国,"68,304.00","3,260.00","84,500.00","96,650"
20,NISSHO IWAI,日本,"67,741.70",-770.90,"39,327.80","19,461"
21,NIPPON LIFE INSURANCE,日本,"66,299.60",827.60,"362,808.50","71,015"
22,SIEMENS,德国,"66,037.80",370.30,"67,024.00","416,000"
23,ALLIANZ,德国,"64,874.70","2,021.90","402,411.40","105,676"
24,HITACHI,日本,"62,409.90","-2,650.50","81,698.40","328,351"
25,U.S.POSTAL SERVICE,美国,"60,072.00",550.00,"54,543.00","904,636"
26,MATSUSHITA ELECTRIC INDUSTRIAL,日本,"59,771.40",105.90,"67,022.60","282,153"
27,PHILIP MORRIS,美国,"57,813.00","5,372.00","59,920.00","144,000"
28,ING GROUP,荷兰,"56,468.70","2,909.70","463,695.80","82,750"
29,BOEING,美国,"56,154.00","1,120.00","36,672.00","227,000"
30,AT&T,美国,"53,588.00","6,398.00","59,550.00","107,800"
31,SONY,日本,"53,156.70","1,400.40","53,182.90","177,000"
32,METRO,德国,"52,126.40",326.10,"22,266.10","181,282"
33,NISSAN MOTOR,日本,"51,477.70",-216.80,"58,405.00","131,260"
34,FIAT,意大利,"50,998.90",692.30,"76,256.60","220,549"
35,BANK OF AMERICA CORP.,美国,"50,777.00","5,165.00","617,679.00","170,975"
36,NESTLE,瑞士,"49,504.10","2,960.70","41,089.00","231,881"
37,CREDIT SUISSE,瑞士,"49,143.30","2,116.90","474,974.10","62,296"
38,HONDA MOTOR,日本,"48,747.70","2,386.50","42,504.10","112,200"
39,ASSICURAZIONI GENERALI,意大利,"48,478.10",996.50,"177,946.60","54,498"
40,MOBIL,美国,"47,678.00","1,704.00","42,754.00","41,500"
41,HEWLETT-PACKARD,美国,"47,061.00","2,945.00","33,673.00","124,600"
42,DEUTSCHE BANK,德国,"45,165.00","1,879.20","735,808.20","75,306"
43,UNILEVER,英国/荷兰,"44,908.00","3,270.20","35,807.00","267,000"
44,STATE FARM INSURANCE COS,美国,"44,620.90","1,319.70","111,365.20","76,257"
45,DAL-ICHI MUTUAL LIFE INSURANCE,日本,"44,485.60",557.20,"252,654.10","63,427"
46,VEBA GROUP,德国,"43,407.50","1,330.10","50,574.70","116,774"
47,HSBC HOLDINGS,英国,"43,338.30","4,316.10","484,735.40","144,521"
48,TOSHIBA,日本,"41,470.90",-108.70,"50,856.90","198,000"
49,RENAULT,法国,"41,353.30","1,499.80","44,765.40","138,321"
50,SEARS ROEBUCK,美国,"41,322.00","1,048.00","37,675.00","324,000"
51,FUJITSU,日本,"41,017.80",-106.70,"43,163.40","188,000"
52,TOKYO ELECTRIC POWER,日本,"39,808.40",762.20,"121,641.70","42,170"
53,DEUTSCHE TELEKOM,德国,"39,710.50","2,494.20","93,110.00","195,876"
54,SUMITOMO LIFE INSURANCE,日本,"39,535.40",962.60,"205,623.30","66,858"
55,E.I. DU PONT DE NEMOURS,美国,"39,130.00","4,480.00","39,724.00","101,000"
56,ZURICH FINANCIAL SERVICES,瑞士,"39,115.00",802.00,"214,651.00","68,876"
57,ROYAL PHILIPS ELECTRONICS,荷兰,"38,455.60","6,598.50","33,055.40","224,573"
58,CGU,英国,"37,588.50",825.40,"176,146.40","52,000"
59,PEUGEOT,法国,"37,539.80",538.80,"40,276.40","156,500"
60,NEC,日本,"37,234.60","-1,235.70","42,017.00","157,773"
61,PROCTER&GAMBLE,美国,"37,154.00","3,780.00","30,966.00","110,000"
62,ELECTRICITE DE FRANCE,法国,"36,672.90",264.10,"113,360.30","116,462"
63,RWE GROUP,德国,"36,603.10",799.70,"47,383.60","145,467"
64,TIAA-CREF,美国,"35,889.10",840.40,"249,714.60","5,229"
65,BMW,德国,"35,886.70",513.30,"35,978.40","119,913"
66,ELF AQUITAINE,法国,"35,864.00",600.80,"43,172.10","85,000"
67,MERRILL LYNCH,美国,"35,853.00","1,259.00","299,804.00","63,800"
68,MUNICH RE GROUP,德国,"35,464.50",489.00,"130,625.60","27,465"
69,VIVENDI,法国,"35,292.30","1,246.40","57,513.30","235,610"
70,SUEZ LYONNAISE DES EAUX,法国,"34,873.50","1,117.50","85,112.90","201,000"
71,PRUDENTIAL INS.CO.OF AMERICA,美国,"34,427.00","1,106.00","279,422.00","77,806"
72,ABN AMRO HOLDING,荷兰,"34,235.00","1,992.60","507,324.20","105,826"
73,SINOPEC,中国,"34,025.20",194.20,"51,605.30","1,190,000"
74,PRUDENTIAL,英国,"33,676.80","1,458.60","197,357.70","22,834"
75,KMART,美国,"33,674.00",568.00,"14,166.00","278,525"
76,AMERICAN INTERNATIONAL GROUP,美国,"33,296.00","3,765.60","194,398.00","48,000"
77,CREDIT AGRICOLE,法国,"33,022.40","2,089.40","458,688.80","86,100"
78,ENI,意大利,"32,389.30","2,593.70","48,503.00","78,906"
79,CHASE MANHATTAN CORP,美国,"32,379.00","3,782.00","365,875.00","72,683"
80,HYPOVEREINSBANK,德国,"31,816.20","2,127.00","541,031.80","39,447"
81,TEXACO,美国,"31,707.00",578.00,"28,570.00","24,628"
82,BELL ATLANTIC,美国,"31,565.90","2,965.30","55,143.90","140,439"
83,FANNIE MAE,美国,"31,498.80","3,418.10","485,013.80","3,800"
84,FORTIS,比利时/荷兰,"31,325.30","1,521.00","396,874.10","59,481"
85,ENRON,美国,"31,260.00",703.00,"29,350.00","17,800"
86,BAYER,德国,"31,197.20","1,794.50","34,352.50","145,100"
87,COMPAQ COMPUTER,美国,"31,169.00","-2,743.00","23,051.00","80,500"
88,MORGAN STANLEY DEAN WITTER,美国,"31,131.00","3,276.00","317,590.00","49,300"
89,DAYTON HUDSON,美国,"30,951.00",935.00,"15,666.00","165,750"
90,TOMEN,日本,"30,934.90",21.50,"18,453.60","10,409"
91,BANK OF TOKYO-MITSUBISHI,日本,"30,928.80",-679.80,"663,627.80","17,878"
92,ABB,瑞士,"30,872.00","1,305.00","32,383.00","199,232"
