排序,公司名称,国家地区,营业收入百万美元,利润百万美元,资产百万美元,股东权益百万美元,雇员人数
1,WAL-MART STORES,美国,"263,009.0","9,054.0","104,912.0","43,623.0","1,500,000"
2,BP,英国,"232,571.0","10,367.0","177,572.0","75,938.0","103,700"
3,EXXON MOBIL,美国,"222,883.0","21,510.0","174,278.0","89,915.0","88,300"
4,ROYAL DUTCH/SHELL GROUP,荷兰/英国,"201,728.0","12,496.0","168,091.0","72,848.0","119,000"
5,GENERAL MOTORS,美国,"195,324.0","3,822.0","448,507.0","25,268.0","326,000"
6,FORD MOTOR,美国,"164,505.0",495.0,"304,594.0","11,651.0","327,531"
7,DAIMLERCHRYSLER,德国,"156,602.2",507.0,"224,854.8","43,491.9","362,063"
8,TOYOTA MOTOR,日本,"153,111.0","10,288.1","211,852.9","78,613.2","264,410"
9,GENERAL ELECTRIC,美国,"134,187.0","15,002.0","647,483.0","79,180.0","305,000"
10,TOTAL,法国,"118,441.4","7,950.6","100,859.7","38,352.0","110,783"
11,ALLIANZ,德国,"114,949.9","1,828.9","1,180,543.1","36,063.9","173,750"
12,CHEVRONTEXACO,美国,"112,937.0","7,230.0","81,470.0","36,295.0","61,533"
13,AXA,法国,"111,912.2","1,137.4","566,631.1","29,516.4","74,584"
14,CONOCOPHILLIPS,美国,"99,468.0","4,735.0","82,455.0","34,366.0","39,000"
15,VOLKSWAGEN,德国,"98,636.6","1,239.3","150,269.8","30,814.3","336,843"
16,NIPPON TELEGRAPH＆TELEPHONE,日本,"98,229.1","5,700.1","186,809.9","61,497.9","205,228"
17,ING GROUP,荷兰,"95,983.3","4,575.7","982,287.2","26,905.4","115,200"
18,CITIGROUP,美国,"94,713.0","17,853.0","1,264,032.0","98,014.0","256,000"
19,INTERNATIONAL BUSINESS MACHINES,美国,"89,131.0","7,583.0","104,457.0","27,864.0","319,273"
20,AMERICAN INTERNATIONAL GROUP,美国,"81,303.0","9,274.0","678,346.0","71,253.0","86,000"
21,SIEMENS,德国,"80,501.0","2,651.4","90,374.1","27,617.1","417,000"
22,CARREFOUR,法国,"79,773.8","1,843.8","49,271.7","8,273.4","419,040"
23,HITACHI,日本,"76,423.3",140.6,"92,183.1","20,840.3","326,344"
24,HEWLETT-PACKARD,美国,"73,061.0","2,539.0","74,708.0","37,746.0","142,000"
25,HONDA MOTOR,日本,"72,263.7","4,110.8","80,057.0","27,629.0","131,600"
26,MCKESSON,美国,"69,506.1",646.5,"16,240.2","5,165.5","24,600"
27,U.S. POSTAL SERVICE,美国,"68,529.0","3,868.0","27,242.0",866.0,"826,955"
28,VERIZON COMMUNICATIONS,美国,"67,752.0","3,077.0","165,968.0","33,466.0","203,065"
29,ASSICURAZIONI GENERALI,意大利,"66,754.9","1,148.9","327,707.8","10,720.2","60,638"
30,SONY,日本,"66,365.7",783.6,"87,380.4","22,857.6","162,000"
31,MATSUSHITA ELECTRIC INDUSTRIAL,日本,"66,218.4",373.1,"71,494.9","33,176.9","290,493"
32,NISSAN MOTOR,日本,"65,771.1","4,459.0","75,549.7","19,454.8","123,654"
33,NESTLE,瑞士,"65,414.6","4,619.5","72,414.5","29,819.3","253,000"
34,HOME DEPOT,美国,"64,816.0","4,304.0","34,437.0","22,407.0","300,000"
35,BERKSHIRE HATHAWAY,美国,"63,859.0","8,151.0","180,559.0","77,596.0","172,732"
36,NIPPON LIFE INSURANCE,日本,"63,840.7","1,758.5","437,277.1","29,593.9","70,073"
37,ROYAL AHOLD,荷兰,"63,455.8",-1.1,"29,513.9","6,118.7","257,140"
38,DEUTSCHE TELEKOM,德国,"63,195.5","1,418.1","146,413.9","37,534.7","248,519"
39,PEUGEOT,法国,"61,384.6","1,694.3","73,237.9","14,964.4","199,900"
40,ALTRIA GROUP,美国,"60,704.0","9,204.0","96,175.0","25,077.0","165,000"
41,METRO,德国,"60,656.9",561.4,"33,.526.2","5,248.4","198,486"
42,AVIVA,英国,"59,719.4","1,551.4","373,566.4","11,732.6","60,740"
43,ENI,意大利,"59,304.4","6,320.9","84,932.9","33,672.5","76,521"
44,MUNICH RE GROUP,德国,"59,082.6",-491.2,"264,102.3","23,837.9","41,431"
45,CREDIT SUISSE,瑞士,"58,957.1","3,716.9","777,957.7","25,660.1","60,837"
46,STATE GRID,中国,"58,348.0",260.5,"127,148.0","46,679.4","750,340"
47,HSBC HOLDINGS,英国,"57,608.0","8,774.0","1,034,216.0","74,473.0","218,000"
48,BNP PARIBAS,法国,"57,271.8","4,256.6","987,717.3","35,722.1","89,071"
49,VODAFONE,英国,"56,844.5","-15,270.2","270,399.6","205,698.4","60,109"
50,CARDINAL HEALTH,美国,"56,829.5","1,405.8","18,521.4","7,758.1","50,000"
51,FORTIS,比利时/荷兰,"56,695.2","2,486.9","659,990.9","15,002.5","62,565"
52,CHINA NATIONAL PETROLEUM,中国,"56,384.0","4,351.0","97,656.8","59,904.5","1,024,371"
53,STATE FARM INSURANCE COS,美国,"56,064.6","2,825.9","136,441.3","40,322.6","71,976"
54,SINOPEC,中国,"55,062.0","1,048.1","67,567.6","19,830.3","854,700"
55,SAMSUNG ELECTRONICS,韩国,"54,400.2","5,004.0","57,105.4","24,750.6","94,185"
56,KROGER,美国,"53,790.8",314.6,"20,184.0","4,011.8","289,000"
57,FANNIE MAE,美国,"53,766.9","7,904.9","1,009,568.5","22,373.3","5,032"
58,FIAT,意大利,"53,499.6","-2,150.4","79,099.3","8,568.2","174,242"
59,FRANCE TELECOM,法国,"52,198.1","3,628.4","125,922.4","15,168.8","218,523"
60,TESCO,英国,"51,570.2","1,841.0","34,447.2","14,744.3","223,335"
61,ZURICH FINANCIAL SERVICES,瑞士,"51,357.0","2,120.0","317,876.0","19,384.0","58,667"
62,ELECTRICITE DE FRANCE,法国,"50,837.7",969.9,185.289.4,"23,869.4","167,309"
63,BOEING,美国,"50,485.0",718.0,"53,035.0","8,139.0","157,000"
64,AMERISOURCEBERGEN,美国,"49,657.3",441.2,"12,040.1","4,005.3","14,200"
65,TOSHIBA,日本,"49,395.5",255.2,"42,891.1","7,257.0","161,000"
66,PEMEX,墨西哥,"49,240.1","-3,766.4","74,145.5","4,081.1","138,215"
67,E.ON,德国,"48,708.9","5,259.3","141,079.8","37,554.8","66,549"
68,DEUTSCHE BANK,德国,"48,670.4","1,544.9","1,013,622.5","35,572.0","67,682"
69,RWE,德国,"48,406.7","1,078.6","125,050.8","8,845.7","127,028"
70,UNILEVER,英国/荷兰,"48,318.4","3,125.9","47,890.2","7,467.1","234,000"
71,TARGET,美国,"48,163.0","1,841.0","31,392.0","11,065.0","328,000"
72,BANK OF AMERICA CORP,美国,"48,065.0","10,810.0",736.445.0,"47,980.0","133,549"
73,UBS,瑞士,"47,741.0","4,747.0","1,120,650.3","28,659.9","65,929"
74,BMW,德国,"46,996.5","2,203.5","77,540.3","20,370.5","104,342"
75,DEUTSCHE POST,德国,"46,651.3","1,481.5","195,421.6","7,701.7","383,173"
76,PDVSA,委内瑞拉,"46,000.0","3,800.0","58,000.0","38,000.0","27,422"
77,PFIZER,美国,"45,950.0","3,910.0","116,775.0","65,377.0","122,000"
78,CREDIT AGRICOLE,法国,"45,928.1","2,970.9","1,103,964.0","48,700.0","136,446"
79,DAI-ICHI MUTUAL LIFE INSURANCE,日本,"45,065.6",879.5,"285,655.0","14,138.8","55,134"
80,SUEZ,法国,"44,842.5","-2,450.5","88,230.3","8,697.8","172,291"
