排名,公司名称,国家地区,营业收入百万美元,利润百万美元,资产百万美元,股东权益百万美元,雇员人数
1,WAL-MART STORES,美国,"287,989.0","10,267.0","120,230.0","49,396.0","1,700,000"
2,BP,英国,"285,095.0","15,371.0","191,208.0","76,656.0","102,900"
3,EXXON MOBIL,美国,"270,772.0","25,330.0","195,256.0","101,756.0","85,900"
4,ROYAL DUTCH/SHELL GROUP,英国/荷兰,"268,690.0","18,183.0","192,811.0","84,576.0","114,000"
5,GENERAL MOTORS,美国,"193,517.0","2,805.0","479,603.0","27,726.0","324,000"
6,DAIMLERCHRYSLER,德国,"176,687.0","3,067.1","248,324.1","45,589.6","384,723"
7,TOYOTA MOTOR,日本,"172,616.3","10,898.2","227,512.9","84,563.0","265,753"
8,FORD MOTOR,美国,"172,233.0","3,487.0","292,654.0","16,045.0","324,864"
9,GENERAL ELECTRIC,美国,"152,886.0","16,819.0","750,507.0","110,821.0","307,000"
10,TOTAL,法国,"152,609.5","11,955.0","114,393.3","42,489.2","111,401"
11,CHEVRON,美国,"147,967.0","13,328.0","93,208.0","45,230.0","56,000"
12,CONOCOPHILLIPS,美国,"121,663.0","8,129.0","92,861.0","42,723.0","35,800"
13,AXA,法国,"121,606.3","3,133.0","653,718.3","35,554.5","89,927"
14,ALLIANZ,德国,"118,937.2","2,735.0","1,352,013.5","41,902.0","162,180"
15,VOLKSWAGEN,德国,"110,648.7",842.0,"172,582.9","32,437.8","342,502"
16,CITIGROUP,美国,"108,276.0","17,046.0","1,484,101.0","109,291.0","290,500"
17,ING GROUP,荷兰,"105,886.4","7,422.8","1,177,357.8","35,157.6","113,000"
18,NIPPON TELEGRAPH & TELEPHONE,日本,"100,545.3","6,608.0","178,556.5","63,280.1","201,486"
19,AMERICAN INTERNATIONAL GROUP,美国,"97,987.0","9,731.0","798,660.0","80,607.0","92,000"
20,INTERNATIONAL BUSINESS MACHINES,美国,"96,293.0","8,430.0","109,183.0","29,747.0","329,000"
21,SIEMENS,德国,"91,493.2","4,144.6","98,762.2","33,354.2","430,000"
22,CARREFOUR,法国,"90,381.7","1,724.8","52,978.1","9,359.6","430,000"
23,HITACHI,日本,"83,993.9",479.2,"91,026.1","21,576.4","347,424"
24,ASSICURAZIONI GENERALI,意大利,"83,267.6","1,635.1","382,373.3","12,690.6","58,354"
25,MATSUSHITA ELECTRIC INDUSTRIAL,日本,"81,077.7",544.1,"75,325.4","33,135.9","334,752"
26,MCKESSON,美国,"80,514.6",-156.7,"18,775.0","5,275.1","25,200"
27,HONDA MOTOR,日本,"80,488.6","4,523.9","87,106.2","30,752.3","137,827"
28,HEWLETT-PACKARD,美国,"79,905.0","3,497.0","76,138.0","37,564.0","151,000"
29,NISSAN MOTOR,日本,"79,799.6","4,766.6","92,075.8","23,052.8","169,644"
30,FORTIS,比利时/荷兰,"75,518.1","4,177.2","775,636.0","19,524.7","50,846"
31,SINOPEC,中国,"75,076.7","1,268.9","74,941.2","23,083.4","774,800"
32,BERKSHIRE HATHAWAY,美国,"74,382.0","7,308.0","188,874.0","85,900.0","180,176"
33,ENI,意大利,"74,227.7","9,047.1","93,938.4","41,236.0","71,497"
34,HOME DEPOT,美国,"73,094.0","5,001.0","38,097.0","24,158.0","273,000"
35,AVIVA,英国,"73,025.2","1,936.8","445,935.6","15,973.6","55,872"
36,HSBC HOLDINGS,英国,"72,550.0","11,840.0","1,276,778.0","86,653.0","244,727"
37,DEUTSCHE TELEKOM,德国,"71,988.9","5,763.6","146,545.7","46,102.0","244,645"
38,VERIZON COMMUNICATIONS,美国,"71,563.3","7,830.7","165,957.9","37,599.7","211,746"
39,SAMSUNG ELECTRONICS,韩国,"71,555.9","9,419.5","66,657.8","33,276.7","66,586"
40,STATE GRID,中国,"71,290.2",694.0,"134,300.4","47,764.9","729,327"
41,PEUGEOT,法国,"70,641.9","1,687.8","82,186.6","17,285.0","207,200"
42,METRO,德国,"70,159.3","1,028.6","38,183.2","6,441.3","208,616"
43,NESTLE,瑞士,"69,825.7","5,405.4","76,589.6","34,488.8","247,000"
44,U.S.POSTAL SERVICE,美国,"68,996.0","3,065.0","24,979.0","3,931.0","807,596"
45,BNP PARIBAS,法国,"68,564.4","5,805.9","1,231,369.2","41,040.3","94,892"
46,CHINA NATIONAL PETROLEUM,中国,"67,723.8","8,757.1","110,396.2","71,934.5","1,122,985"
47,SONY,日本,"66,618.0","1,524.5","88,809.0","26,835.4","151,400"
48,CARDINAL HEALTH,美国,"65,130.6","1,474.5","21,369.1","7,976.3","55,000"
49,ROYAL AHOLD,荷兰,"64,675.6",-542.3,"28,142.7","6,252.4","206,441"
50,ALTRIA GROUP,美国,"64,440.0","9,416.0","101,648.0","30,714.0","156,000"
51,PEMEX,墨西哥,"63,690.5","-2,258.9","85,002.6","2,991.2","138,215"
52,BANK OF AMERICA CORP,美国,"63,324.0","14,143.0","1,110,457.0","99,645.0","175,742"
53,VODAFONE,英国,"62,947.1","-13,910.4","253,028.6","187,669.2","57,378"
54,TESCO,英国,"62,458.7","2,511.3","39,303.4","17,342.8","242,980"
55,MUNICH RE GROUP,德国,"60,705.5","2,279.8","291,948.3","27,450.8","40,962"
56,NIPPON LIFE INSURANCE,日本,"60,520.8","1,886.3","437,336.6","31,371.0","69,182"
57,FIAT,意大利,"59,972.9","-1,972.6","77,805.8","6,930.7","161,494"
58,ROYAL BANK OF SCOTLAND,英国,"59,750.0","8,267.4","1,120,199.3","61,177.7","137,000"
59,ZURICH FINANCIAL SERVICES,瑞士,"59,678.0","2,587.0","346,083.0","22,181.0","53,246"
60,CREDIT AGRICOLE,法国,"59,053.8","4,936.5","1,240,485.5","56,742.4","135,502"
61,CREDIT SUISSE,瑞士,"58,825.0","5,308.6","958,082.1","31,898.1","60,532"
62,STATE FARM INSURANCE COS.,美国,"58,818.9","3,462.6","149,827.2","46,519.2","68,681"
63,FRANCE TELECOM,法国,"58,652.1","1,667.9","130,926.9","21,313.9","206,524"
64,ELECTRICITE DE FRANCE,法国,"58,367.2","4,466.0","201,674.3","23,877.4","161,310"
65,J.P.MORGAN CHASE & CO.,美国,"56,931.0","6,509.5","1,157,248.0","105,653.0","160,968"
66,UBS,瑞士,"56,917.8",-100.0,"1,525,551.6","30,759.3","67,424"
67,KROGER,美国,"56,434.4","3,074.6","20,491.0","3,540.0","289,000"
68,DEUTSCHE BANK,德国,"55,669.5","3,074.6","1,141,837.3","35,209.2","65,417"
69,E.ON,德国,"55,652.1","5,396.7","155,035.4","45,615.4","69,710"
70,DEUTSCHE POST,德国,"55,388.4","1,975.1","208,445.9","9,809.5","379,828"
71,BMW,德国,"55,142.2","2,763.6","91,631.8","23,809.5","105,972"
72,TOSHIBA,日本,"54,303.5",428.4,"42,739.0","7,624.3","166,000"
73,VALERO ENERGY,美国,"53,918.6","1,803.8","19,391.6","7,798.0","19,797"
74,AMERISOURCEBERGEN,美国,"53,179.0",468.4,"11,654.0","4,339.0","13,450"
75,PFIZER,美国,"52,921.0","11,361.0","123,684.0","68,278.0","115,000"
76,BOEING,美国,"52,553.0","1,872.0","53,963.0","11,286.0","159,000"
77,PROCTER & GAMBLE,美国,"51,407.0","6,481.0","57,048.0","17,278.0","110,000"
78,RWE,德国,"50,951.9","2,657.9","126,910.4","13,124.6","97,777"
79,SUEZ,法国,"50,670.1","2,244.2","85,606.3","10,768.4","160,712"
80,RENAULT,法国,"50,639.7","4,416.6","82,833.6","21,829.1","130,573"
81,UNILEVER,英国/荷兰,"49,960.7","2,333.3","46,043.6","7,512.9","223,000"
82,TARGET,美国,"49,934.0","3,198.0","32,293.0","13,029.0","292,000"
83,ROBERT BOSCH,德国,"49,759.2","1,950.2","48,089.2","17,241.7","242,348"
84,DELL,美国,"49,205.0","3,043.0","23,215.0","6,485.0","55,200"
85,THYSSENKRUPP,德国,"48,756.1","1,100.0","38,677.5","10,342.2","184,358"
86,COSTCO WHOLESALE,美国,"48,107.0",882.4,"15,092.5","7,624.8","82,150"
87,HBOS,英国,"47,755.7","5,601.4","850,288.0","33,834.4","61,091"
88,JOHNSON & JOHNSON,美国,"47,348.0","8,509.0","53,317.0","31,813.0","109,922"
89,PRUDENTIAL,英国,"47,055.8",765.9,"355,099.6","8,219.2","21,715"
90,TOKYO ELECTRIC POWER,日本,"46,962.7","2,104.5","128,540.7","23,393.0","53,380"
91,BASF,德国,"46,686.6","2,342.0","46,098.8","20,977.1","81,955"
92,HYUNDAI MOTOR,韩国,"46,358.2","1,472.6","54,173.0","12,590.5","53,218"
93,ENEL,意大利,"45,530.4","3,522.3","94,309.5","26,976.4","61,898"
94,MARATHON OIL,美国,"45,444.0","1,261.0","23,423.0","8,111.0","25,804"
95,STATOIL,挪威,"45,444.0","3,697.3","40,986.7","14,039.0","23,899"
96,NEC,日本,"45,175.5",631.5,"36,842.3","7,425.8","147,753"
97,REPSOL YPF,西班牙,"44,857.5","2,425.3","52,932.1","19,769.9","33,337"
98,DAI-ICHI MUTUAL LIFE INSURANCE,日本,"44,468.8","1,301.7","279,687.9","15,219.4","54,685"
99,FUJITSU,日本,"44,316.0",296.9,"34,032.9","8,012.2","150,970"
100,TIME WARNER,美国,"42,869.0","3,364.0","123,339.0","60,771.0","84,900"
101,ABN AMRO HOLDING,荷兰,"42,319.0","5,110.6","827,252.6","20,350.2","97,276"
102,SBC COMMUNICATIONS,美国,"41,098.0","5,887.0","108,844.0","40,504.0","162,700"
103,TYCO INTERNATIONAL,美国,"41,042.0","2,879.0","63,667.0","30,292.0","258,400"
104,DOW CHEMICAL,美国,"40,161.0","2,797.0","45,885.0","12,270.0","43,203"
105,ALBERTSON'S,美国,"40,052.0",444.0,"18,331.0","5,421.0","241,000"
106,SAINT-GOBAIN,法国,"39,831.5","1,347.0","41,982.2","15,707.1","181,228"
107,MORGAN STANLEY,美国,"39,549.0","4,486.0","775,410.0","28,206.0","53,284"
108,METLIFE,美国,"39,535.0","2,758.0","356,808.0","22,824.0","53,920"
109,EADS,荷兰,"39,503.1","1,281.1","79,179.7","23,070.0","110,662"
110,BARCLAYS,英国,"39,347.2","5,988.0","1,002,359.6","33,438.9","82,700"
111,TELECOM ITALIA,意大利,"39,228.2",971.4,"104,128.5","20,622.1","91,365"
112,AEON,日本,"38,943.6",576.1,"2,639.0","6,060.5","51,147"
113,MEIJI YASUDA LIFE INSURANCE,日本,"38,835.1","1,754.8","235,942.1","14,246.2","45,302"
114,TELEFONICA,西班牙,"38,188.0","3,578.7","86,264.7","22,053.5","173,554"
115,LG ELECTRONICS,韩国,"37,757.5","1,403.8","28,444.5","5,360.3","32,000"
116,ROYAL PHILIPS ELECTRONICS,荷兰,"37,709.6","3,527.3","41,759.3","20,198.0","161,586"
117,SK,韩国,"37,691.6","1,473.8","41,620.2","6,075.3","27,026"
118,ARCELOR,卢森堡,"37,531.7","2,878.1","42,437.6","14,818.2","94,601"
119,WALGREEN,美国,"37,508.2","1,360.2","13,342.1","8,228.0","140,000"
120,UNITED TECHNOLOGIES,美国,"37,445.0","2,788.0","40,035.0","14,008.0","209,700"
