排名,2004,公司名称,国家,营业收入百万美元,利润百万美元,资产百万美元,雇员人数
1,3,Exxon Mobil,美国,"339,938.00",36130.0,"208,335.0","83,700"
2,1,Wal-Mart Stores,美国,"315,654.00",11231.0,"139,197.0","1,800,000"
3,4,Royal Dutch Shell,荷兰,"306,731.00",25311.0,"219,516.0","109,000"
4,2,BP,英国,"267,600.00",22341.0,"206,914.0","96,200"
5,5,General Motors,美国,"192,604.00",(10567.0),"476,078.0","335,000"
6,11,Chevron,美国,"189,481.00",14099.0,"125,833.0","59,000"
7,6,DaimlerChrysler,德国,"186,106.30",3536.3,"237,839.0","382,724"
8,7,Toyota Motor,日本,"185,805.00",12119.6,"243,506.0","285,977"
9,8,Ford Motor,美国,"177,210.00",2024.0,"269,476.0","300,000"
10,12,ConocoPhillips,美国,"166,683.00",13529.0,"106,999.0","35,600"
11,9,General Electric,美国,"157,153.00",16353.0,"673,342.0","316,000"
12,10,Total,法国,"152,360.70",15250.0,"125,204.3","112,877"
13,17,ING Group,荷兰,"138,235.30",8958.9,"1,366,698.7","115,300"
14,16,Citigroup,美国,"131,045.00",24589.0,"1,494,031.0","303,000"
15,13,AXA,法国,"129,839.20",5186.5,"680,236.7","78,800"
16,14,Allianz,德国,"121,406.00",5442.4,"1,177,070.4","177,625"
17,15,Volkswagen,德国,"118,376.60",1391.7,"156,978.3","344,902"
18,30,Fortis,比利时/荷兰,"112,351.40",4896.3,"859,900.0","54,248"
19,60,Crédit Agricole,法国,"110,764.60",7434.3,"1,380,508.5","136,848"
20,19,American Intl. Group,美国,"108,905.00",10477.0,"853,370.0","97,000"
21,24,Assicurazioni Generali,意大利,"101,403.80",2384.0,"407,604.6","61,561"
22,21,Siemens,德国,"100,098.70",2854.9,"103,932.2","461,000"
23,31,Sinopec,中国,"98,784.90",2668.4,"90,437.6","730,800"
24,18,Nippon Telegraph & Telephone,日本,"94,869.30",4404.6,"160,064.3","199,133"
25,22,Carrefour,法国,"94,454.50",1784.3,"54,555.1","440,479"
26,36,HSBC Holdings,英国,"93,494.00",15873.0,"1,501,970.0","284,000"
27,33,ENI,意大利,"92,603.30",10919.7,"98,906.9","72,258"
28,35,Aviva,英国,"92,579.40",3211.4,"452,270.0","54,791"
29,20,Intl. Business Machines,美国,"91,134.00",7934.0,"105,748.0","329,373"
