排名,公司名称,国家,营业收入(百万美元),利润(百万美元),雇员人数
1,WAL-MART STORES,美国,"351,139.00","11,284.00","1,900,000"
2,EXXON MOBIL,美国,"347,254.00","39,500.00","106,400"
3,ROYAL DUTCH SHELL,荷兰,"318,845.00","25,442.00","108,000"
4,BP,英国,"274,316.00","22,000.00","97,000"
5,GENERAL MOTORS,美国,"207,349.00","-1,978.00","280,000"
6,TOYOTA MOTOR,日本,"204,746.40","14,055.80","299,394"
7,CHEVRON,美国,"200,567.00","17,138.00","62,500"
8,DAIMLERCHRYSLER,德国,"190,191.40","4,048.80","360,385"
9,CONOCOPHILLIPS,美国,"172,451.00","15,550.00","38,400"
10,TOTAL,法国,"168,356.70","14,764.70","95,070"
11,GENERAL ELECTRIC,美国,"168,307.00","20,826.00","319,000"
12,FORD MOTOR,美国,"160,126.00","-12,613.00","283,000"
13,ING GROUP,荷兰,"158,274.30","9,650.80","119,952"
14,CITIGROUP,美国,"146,777.00","21,538.00","332,000"
15,AXA,法国,"139,738.10","6,379.90","96,009"
16,VOLKSWAGEN,德国,"132,323.10","3,449.00","324,875"
17,SINOPEC,中国,"131,636.00","3,703.10","681,900"
18,CREDIT AGERICOLE,法国,"128,481.30","8,975.80","152,909"
19,ALLIANZ,德国,"125,346.00","8,808.90","166,505"
20,FORTIS,比利时、荷兰,"121,201.80","5,459.00","56,886"
21,BANK OF AMERICA CORP.,美国,"117,017.00","21,133.00","203,425"
22,HSBC HOLDINGS,英国,"115,361.00","15,789.00","296,197"
23,AMERICAN INTERNATIONAL GROUP,美国,"113,194.00","14,048.00","106,000"
24,CHINA NATIONAL PETROLEUM,中国,"110,520.20","13,265.30","1,086,966"
25,BNP PARIBAS,法国,"109,213.60","9,169.00","141,911"
26,ENI,意大利,"109,014.20","11,564.10","73,572"
27,UBS,瑞士,"107,834.80","9,776.60","78,140"
28,SIEMENS,德国,"107,341.70","3,728.20","475,000"
29,STATE GRID,中国,"107,185.50","2,237.70","1,504,000"
30,ASSICURAZIONI GENERALI,意大利,"101,810.70","3,017.20","66,003"
31,J.P. MORGAN CHASE & CO.,美国,"99,973.00","14,444.00","174,360"
32,CARREFOUR,法国,"99,014.70","2,846.20","456,295"
33,BERKSHIRE HATHAWAY,美国,"98,539.00","11,015.00","217,550"
34,PEMEX,墨西哥,"97,469.30","4,151.20","141,886"
35,DEUTSCHE BANK,德国,"96,151.50","7,510.30","68,849"
36,EDXIA GROUP,比利时,"95,846.60","3,450.30","33,321"
37,HONDA MOTOR,日本,"94,790.50","5,064.10","167,231"
38,MCKESSON,美国,"93,574.00",913,"31,800"
39,VERIZON COMMUNICATIONS,美国,"93,221.00","6,197.00","242,000"
40,NIPPON TELEGRAPH & TELEPHONE,日本,"91,998.30","4,077.40","199,733"
41,HEWLETT-PAKARD,美国,"91,658.00","6,198.00","156,000"
42,INTERNATIONAL BUSINESS MACHINES,美国,"91,424.00","9,492.00","355,766"
43,VALERO ENERGY,美国,"91,051.00","5,463.00","21,836"
44,HOME DEPOT,美国,"90,837.00","5,761.00","305,760"
45,NISSAN MOTOR,日本,"89,502.10","3,939.60","165,729"
46,SAMSUNG ELECTRONICS,韩国,"89,476.20","8,301.90","138,000"
47,CREDIT SUISSE,瑞士,"89,354.40","9,034.80","44,000"
48,HITACHI,日本,"87,615.40",-280.4,"384,444"
49,SOCIETE GENERALE,法国,"84,485.70","6,550.50","119,799"
50,AVIVA,英国,"83,487.00","4,075.30","58,019"
51,CARDINAL HEALTH,美国,"81,895.10","1,000.10","55,000"
52,GAZPROM,俄罗斯,"81,115.00","20,321.30","432,230"
53,E.ON,德国,"80,994.00","6,344.80","80,612"
54,ROYAL BANK OF SCOTLAND,英国,"80,983.00","11,762.20","135,000"
55,TESCO,英国,"79,978.80","3,544.90","318,283"
56,NESTLE,瑞士,"79,827.10","7,335.90","625,000"
57,DEUTSCHE POST,德国,"79,502.20","2,403.90","463,350"
58,HBOS,英国,"79,238.80","7,136.80","66,068"
59,MATSUSHITA ELECRTIC INDUSTRIAL,日本,"77,871.10","1,856.80","328,645"
60,DEUTSCHE TELEKOM,德国,"76,969.10","3,971.00","248,800"
61,MORGAN STANLEY,美国,"76,688.00","7,472.00","55,310"
62,METRO,德国,"75,131.00","1,324.90","222,741"
63,ELECTRICITE DE FRANCE,法国,"73,939.10","7,032.30","165,524"
64,U.S. POSTAL SERVICE,美国,"72,650.00",900,"796,199"
65,PETROBRAS,巴西,"72,347.00","12,826.00","62,266"
66,UNITEDHEALTH GROUP,美国,"71,542.00","4,159.00","58,000"
67,ABN AMRO HOLDINGS,荷兰,"71,217.80","5,997.20","107,000"
68,PEUGEOT,法国,"71,005.70",200.8,"211,800"
69,SONY,日本,"70,924.80","1,080.10","163,000"
70,MERRILLYNCH,美国,"70,591.00","7,499.00","56,200"
71,ALTRIA GROUP,美国,"70,324.00","12,022.00","175,000"
72,GOLDMAN SACHS GROUP,美国,"69,353.00","9,537.00","26,467"
73,LG,韩国,"68,754.10",481.6,"158,000"
74,PROCTER & GAMBLE,美国,"68,222.00","8,684.00","138,000"
75,SANTANDER CENTRAL HISPANO GROUP,西班牙,"68,050.60","9,530.30","129,749"
76,HYUNDAI MOTOR,韩国,"66,666.00","1,319.00","54,711"
77,TELEFONICA,西班牙,"66,372.30","7,820.20","234,900"
78,STATOIL,挪威,"66,280.30","6,331.60","25,435"
79,PRUDENTIAL,英国,"66,133.50","1,608.00","34,789"
80,KROGER,美国,"66,111.20","1,114.90","310,000"
81,BASF,德国,"66,006.80","4,034.00","95,247"
82,FRANCE TELECOM,法国,"65,899.30","5,193.00","191,036"
83,BARCLAYS,英国,"65,609.10","8,410.00","118,600"
84,FIAT,意大利,"65,031.10","1,336.20","172,012"
85,ZURICH FINANCIAL SERVICES,瑞士,"65,000.00","4,527.00","52,286"
86,AT&T,美国,"63,055.00","7,356.00","302,700"
87,BOEING,美国,"61,530.00","2,215.00","154,000"
88,BMW,德国,"61,476.70","3,598.30","106,575"
89,AMERISOURCEBERGEN,美国,"61,203.10",467.7,"13,950"
90,REPSOL YPF,西班牙,"60,920.90","3,919.50","36,931"
91,TOSHIBA,日本,"60,841.90","1,175.00","190,708"
92,MARATHON OIL,美国,"60,643.00","5,234.00","28,195"
93,STATE FARM INSURANCE COS.,美国,"60,528.00","5,315.50","67,877"
94,COSTCO WHOLESALE,美国,"60,151.20","1,103.20","99,000"
95,VODAFONE,英国,"59,811.30","-10,262.30","66,000"
96,TARGET,美国,"59,490.00","2,787.00","352,000"
97,UNICREDIT GROUP,意大利,"59,119.30","6,835.00","139,061"
98,SK,韩国,"59,001.90","1,461.00","24,632"
99,MITTAL STEEL,荷兰,"58,870.00","5,226.00","320,000"
100,MUNICH RE GROUP,德国,"58,183.20","4,316.00","37,210"
101,THYSSENKRUPP,德国,"57,927.00","2,019.60","187,586"
102,DELL,美国,"57,095.00","2,614.00","82,290"
103,WELLPOINT,美国,"56,953.00","3,094.90","42,000"
104,ROYAL AHOLD,荷兰,"56,944.90","1,127.90","164,078"
105,SUEZ,法国,"56,721.30","4,524.60","138,678"
106,RWE,德国,"56,646.30","4,826.60","68,534"
107,NIPPON LIFE INSURANCE,日本,"56,624.00","2,610.90","64,845"
108,CNP ASSURANCES,法国,"55,583.80","1,437.00","3,247"
109,ROBERT BOSCH,德国,"54,808.20","2,575.80","261,291"
110,LUKOIL,俄罗斯,"54,539.00","7,484.00","150,000"
111,LLOYDS TSB GROUP,英国,"53,904.00","5,157.10","62,630"
112,JOHNSON & JOHNSON,美国,"53,324.00","11,053.00","122,200"
113,METLIFE,美国,"53,275.00","6,293.00","47,000"
114,SEARS HOLDINGS,美国,"53,012.00","1,490.00","352,000"
115,PFIZER,美国,"52,415.00","19,337.00","98,000"
116,SAINT-GOBAIN,法国,"52,188.50","2,053.90","206,940"
117,RENAULT,法国,"52,103.20","3,599.60","128,893"
118,MITSUBISHI UFJ FINANCIAL GROUP,日本,"52,101.50","7,532.20","78,286"
119,NOKIA,芬兰,"51,592.50","5,402.50","68,483"
120,UNILEVER,英/荷,"51,032.90","5,953.30","179,000"
121,PRTRONAS,马来西亚,"50,987.50","12,862.80","33,439"
122,EADS,荷兰,"49,475.90",124.2,"116,805"
123,DOW CHEMICAL,美国,"49,124.00","3,724.00","42,578"
124,ENEL,意大利,"48,320.40","3,809.10","58,548"
125,NIPPON OIL,日本,"48,012.60",600.4,"13,214"
126,WELLS FARGO,美国,"47,979.00","8,482.00","158,000"
127,UNITED TECHNOLOGIES,美国,"47,829.00","3,732.00","214,500"
128,UNITED PARCEL SERVICE,美国,"47,547.00","4,202.00","428,000"
129,WALGREEN,美国,"47,409.00","1,750.60","168,600"
130,LOWE'S,美国,"46,927.00","3,105.00","183,500"
131,WACHOVIA CORP.,美国,"46,810.00","7,791.00","108,238"
132,LEHMAN BROTHERS HOLDINGS,美国,"46,709.00","4,007.00","25,936"
133,AEGON,荷兰,"45,939.10","3,499.20","28,726"
134,SEVEN & I HOLDINGS,日本,"45,635.20","1,140.70","54,088"
135,INDIAN OIL,印度,"45,216.60","1,739.60","35,611"
136,TOKYO ELECTRIC POWER,日本,"45,167.80","2,549.10","52,584"
137,TIME WARNER,美国,"44,788.00","6,552.00","92,700"
138,A.P. MOLLER-MAERSK GROUP,丹麦,"44,705.90","2,616.70","108,530"
139,MICROSOFT,美国,"44,282.00","12,599.00","71,000"
140,FREDDIE MAC,美国,"44,002.00","2,211.00","5,468"
141,GROUPE AUCHAN,法国,"43,900.30",936,"174,644"
142,CVS/CAREMARK,美国,"43,813.80","1,368.90","136,000"
143,MOTOROLA,美国,"43,739.00","3,661.00","66,000"
144,FUJITSU,日本,"43,604.30",875.6,"160,977"
145,SPRINT NEXTEL,美国,"43,531.00","1,329.00","64,600"
146,MITSUBISHI,日本,"43,490.10","3,555.70","55,867"
147,GLAXOSMITHKLINE,英国,"42,730.60","9,915.00","102,695"
148,MEDCO HEALTH SOLUTIONS,美国,"42,543.70",630.2,"15,450"
149,TYCO INTERNATIONAL,美国,"42,155.00","3,590.00","238,200"
150,MITSUI,日本,"41,728.30","2,577.70","41,761"
151,CATERPILLAR,美国,"41,517.00","3,537.00","94,593"
152,AEON,日本,"41,249.10",492.9,"63,163"
153,GROUPE CAISSE D'EPARGNE,法国,"41,015.80","4,807.80","55,800"
154,HON HAI PRECISION INDUSTRY,中国台湾,"40,595.60","1,840.50","382,000"
155,SAFEWAY,美国,"40,185.00",870.6,"207,000"
156,TELECOM ITALIA,意大利,"40,150.10","3,781.50","83,209"
157,DAI-ICHI MUTUAL LIFE INSURANCE,日本,"40,145.50","1,512.00","52,566"
158,BAYER,德国,"39,899.20","2,111.60","106,000"
159,NEC,日本,"39,778.20",78,"154,786"
160,LOCKHEED MARTIN,美国,"39,620.00","2,529.00","140,000"
161,ROYAL PHILIPS ELETRONICS,荷兰,"38,707.30","6,753.80","121,732"
162,LEGAL & GENERAL GROUP,英国,"38,574.40","2,877.50","9,742"
163,BANCO BILBAO VIZCAYA ARGENTARIA,西班牙,"38,308.80","5,941.90","98,553"
164,BT,英国,"38,248.30","5,390.30","106,200"
165,DZ BANK,德国,"37,780.10","1,465.40","22,334"
166,DEUTSCHE BAHN,德国,"37,706.00","2,089.00","229,200"
167,SUPERVALU,美国,"37,406.00",452,"191,400"
168,NAVARTIS,瑞士,"37,020.00","7,175.00","100,735"
169,SANOFI-AVENTIS,法国,"36,998.40","5,026.10","100,000"
170,INDUSTRIAL & COMMERCIAL BANK OF CHINA,中国,"36,832.90","6,179.20","351,448"
171,NIPPON STEEL,日本,"36,781.60","3,002.50","47,257"
172,CAREMARK RX,美国,"36,750.20","1,074.00","13,360"
173,OLD MUTUAL,英国,"36,646.20","1,538.10","53,152"
174,ARCHER DANIELS MIDLAND,美国,"36,596.10","1,312.10","26,800"
175,RABOBANK,荷兰,"36,486.50","2,690.00","50,573"
176,SUNOCO,美国,"36,081.00",979,"14,000"
177,MILLEA HOLDINGS,日本,"36,066.90",795.2,"23,280"
178,VEOLIA ENVIRONNEMENT,法国,"36,044.40",951.9,"298,498"
179,BEST BUY,美国,"35,934.00","1,377.00","140,000"
180,CHINA MOBIL COMMUNICATIONS,中国,"35,913.70","6,256.70","130,637"
181,ALLSTATE,美国,"35,796.00","4,993.00","37,350"
182,CANON,日本,"35,727.00","3,913.50","118,499"
183,INTEL,美国,"35,382.00","5,044.00","94,100"
184,PEPSICO,美国,"35,137.00","5,642.00","168,000"
185,VOLVO,瑞典,"35,091.00","2,205.50","83,187"
186,MUZUHO FINANCIAL GROUP,日本,"35,050.40","5,309.00","47,449"
187,FRANZ HANIEL,德国,"34,809.10",805.5,"55,889"
188,ROCHE GROUP,瑞士,"34,702.80","6,285.40","74,372"
189,GAZ DE FRANCE,法国,"34,681.10","2,883.20","50,244"
190,KOC HOLDINGS,土耳其,"34,389.80",390.5,"56,595"
191,WALT DISNEY,美国,"34,285.00","3,374.00","133,000"
192,CHINA LIFE INSURANCE,中国,"33,711.50",173.9,"77,660"
193,BOUYGUES,法国,"33,693.70","1,563.30","122,561"
194,SUMITOMO MITSUI FINANCIAL GROUP,日本,"33,354.20","3,773.40","41,428"
195,ANGLO AMEIRICAN,英国,"33,072.00","6,186.00","162,000"
196,MITSUBISHI ELECTRIC,日本,"32,965.00","1,052.30","102,835"
197,VINCI,法国,"32,681.50","1,593.90","138,524"
198,SYSCO,美国,"32,628.40",855.3,"49,600"
199,PRUDENTIAL FINANCIAL,美国,"32,488.00","3,428.00","39,814"
200,J.SAINSBURY,英国,"32,438.10",614.7,"95,500"
201,JOHNSON CONTROLS,美国,"32,413.00","1,028.00","136,000"
202,SUMITOMO LIFE INSURANCE,日本,"32,320.00",735.9,"45,834"
203,FEDEX,美国,"32,294.00","1,806.00","221,677"
204,FONCIERE EURIS,法国,"32,237.00",95.4,"152,956"
205,BHP BILLITON,澳大利亚,"32,153.00","10,450.00","33,184"
206,SWISS REINSURANCE,瑞士,"32,117.60","3,637.20","10,891"
207,PTT,泰国,"32,045.60","2,514.60","8,533"
208,ROYAL BANK OF CANADA,加拿大,"31,642.60","4,150.50","60,858"
209,HONEYWELL INTERNATIONAL,美国,"31,367.00","2,083.00","118,000"
210,INGRAM MICRO,美国,"31,357.50",265.8,"13,700"
211,MARUBENI,日本,"31,281.70","1,020.40","28,442"
212,NORSK HYDRO,挪威,"31,197.70","2,711.10","33,000"
213,ALCOA,美国,"30,896.00","2,248.00","123,000"
214,DENSO,日本,"30,861.50","1,754.10","112,262"
215,BANK OF CHINA,中国,"30,750.80","5,372.30","232,632"
216,COMMERZBANK,德国,"30,352.50","2,003.70","35,975"
217,NORTHROP GRUMMAN,美国,"30,304.00","1,542.00","122,200"
218,CENTRICA,英国,"30,265.60",-285.2,"33,393"
219,MANULIFE FINANCIAL,加拿大,"30,136.90","3,449.00","21,000"
220,MEIJI YASUDA LIFE INSURANCE,日本,"29,979.30","2,127.60","39,776"
221,NIPPON MINING HOLDINGS,日本,"29,713.70",909.9,"9,969"
222,AIR FRANCE-KLM GROUP,法国,"29,592.10","1,142.50","103,050"
223,LA POSTE,法国,"29,466.70",989.9,"303,401"
224,BANCO BRADESCO,巴西,"29,301.20","2,324.10","79,306"
225,DUPONT,美国,"28,982.00","3,148.00","59,000"
226,HESS,美国,"28,720.00","1,916.00","13,700"
227,MACY'S,美国,"28,711.00",995,"188,000"
228,KOREA ELECTRIC POWER,韩国,"28,708.40","2,331.10","20,388"
229,SAMSUNG LIFE INSURANCE,韩国,"28,639.20",544.3,"6,410"
230,CHINA CONSTRUCTION BANK,中国,"28,532.30","5,810.30","297,506"
231,KDDI,日本,"28,515.10","1,596.60","14,358"
232,CISCO SYSTEMS,美国,"28,484.00","5,580.00","49,926"
233,NEW YORK LIFE INSURANCE,美国,"28,365.10","1,035.40","14,141"
234,GEORGE WESTON,加拿大,"28,350.40",106.6,"150,000"
235,WOOLWORTHS,澳大利亚,"28,275.50",758,"94,408"
236,STANDARD LIFE ASSURANCE,英国,"28,239.90",520.7,"10,860"
237,CHINA SOUTHERN POWER GRID,中国,"27,966.10","1,074.10","178,053"
238,JFE HOLDINGS,日本,"27,875.50","2,562.20","53,610"
239,NATIONAL AUSTRALIA BANK,澳大利亚,"27,789.70","3,278.00","38,433"
240,MAZDA MOTOR,日本,"27,764.70",630.5,"38,004"
241,COLES GROUP,澳大利亚,"27,516.00",869.3,"115,616"
242,SNCF,法国,"27,444.20",818,"20,742"
243,AMERICAN EXPRESS,美国,"27,145.00","3,707.00","65,400"
244,POSCO,韩国,"27,067.70","3,471.30","17,523"
245,SUZUKI MOTOR,日本,"27,048.10",641.3,"45,510"
246,KBC GROUP,比利时,"26,896.00","4,303.50","50,189"
247,TIAA-CREF,美国,"26,756.80","2,333.80","6,547"
248,SHARP,日本,"26,741.20",869.6,"48,927"
249,POWER CORP. OF CANADA,加拿大,"26,708.50","1,227.70","31,500"
250,WASHINGTON MUTUAL,美国,"26,561.00","3,558.00","49,824"
251,HARTFORD FINANCIAL SERVICES,美国,"26,500.00","2,745.00","31,000"
252,ASTRAZENECA,英国,"26,475.00","6,043.00","66,000"
253,DELPHI,美国,"26,392.00","-5,464.00","171,400"
254,SUMITOMO,日本,"26,308.90","1,804.00","61,490"
255,BUNGE,美国,"26,274.00",521,"22,524"
256,TUI,德国,"26,241.80","-1,120.80","53,930"
257,MITSUBISHI HEAVY INDUSTRIES,日本,"26,234.50",417.6,"62,940"
258,ENDESA,西班牙,"25,820.70","3,725.10","26,758"
259,BRIDGESTONE,日本,"25,709.70",731.6,"126,326"
260,COMCAST,美国,"25,700.00","2,533.00","90,000"
261,ADECCO,瑞士,"25,616.20",766.6,"37,000"
262,LANDESBANK BADEN-WURTTEMBERG,德国,"25,583.10","1,026.20","12,252"
263,AETNA,美国,"25,568.60","1,701.70","30,000"
264,TYSON FOODS,美国,"25,559.00",-196,"107,000"
265,HCA,美国,"25,477.00","1,036.00","161,500"
266,NEWS CROP.,美国,"25,327.00","2,314.00","47,300"
267,WHOLSELEY,英国,"25,263.10",958.2,"65,223"
268,IDEMITSY KOSAN,日本,"25,159.20",355.6,"7,474"
269,RELIANCE INDUSTRIES,印度,"25,158.90","2,665.20","38,731"
270,VIVENDI,法国,"25,148.20","5,060.00","34,694"
271,TRAVELERS COS.,美国,"25,090.00","4,208.00","32,800"
272,LUFTHANSA GROUP,德国,"24,903.60","1,007.50","93,541"
273,ABB,瑞士,"24,883.00","1,390.00","108,200"
274,MASSACHUSETTS MUTUAL LIFE INSURANCE,美国,"24,863.40","1,266.00","11,969"
275,CHINA TELECOMMUNICATIONS,中国,"24,791.30","2,279.70","400,299"
276,EDLHAIZE GROUP,比利时,"24,481.80",441.5,"106,600"
277,AGRICULTURAL BANK OF CHINA,中国,"24,475.50",728.4,"452,464"
278,COUNTRYWIDE FINANCIAL,美国,"24,444.60","2,674.80","54,655"
279,DANSKE BANK GROUP,丹麦,"24,337.50","2,280.30","19,253"
280,GENERAL DYNAMICS,美国,"24,212.00","1,856.00","81,000"
281,BERTELSMANN,德国,"24,211.00","2,636.00","97,132"
282,INTERNATIONAL PAPER,美国,"24,186.00","1,050.00","60,600"
283,MAGNA INTERNATIONAL,加拿大,"24,180.00",528,"83,000"
284,L.M. ERICSSON,瑞典,"24,102.60","3,558.90","63,781"
285,COCA-COLA,美国,"24,088.00","5,080.00","71,000"
286,OMV GROUP,奥地利,"23,855.70","1,734.70","40,993"
287,FUJIFILM HOLDINGS,日本,"23,789.50",294.5,"76,358"
288,ITAUSA-INVESTIMENTOS ITAU,巴西,"23,761.60","2,062.70","71,774"
289,ALCAN,加拿大,"23,696.00","1,786.00","64,700"
290,HUTCHISON WHAMPOA,中国香港,"23,661.00","2,578.30","220,000"
291,BANCO DO BRASIL,巴西,"23,531.60","2,779.20","62,672"
292,LIBERTY MUTUAL INSURANCE GROUP,美国,"23,520.00","1,626.00","39,000"
293,CRH,爱尔兰,"23,508.90","1,518.40","79,560"
294,RAYTHEON,美国,"23,274.00","1,283.00","80,000"
295,LAFARGE,法国,"23,252.50","1,721.40","82,734"
296,PPR,法国,"23,191.60",859.8,"78,453"
297,CEPSA,西班牙,"23,178.60","1,018.30","11,096"
298,WILLIAM MORRISON SUPERMARKETS,英国,"23,125.30",459.5,"84,653"
299,SINOCHEM,中国,"23,109.20",344.7,"20,343"
300,GASTERRA,荷兰,"23,085.60",45.2,169
301,SABIC,沙特阿拉伯,"23,019.00","5,411.30","19,000"
302,3M,美国,"22,923.00","3,851.00","75,333"
303,SAN PAOLO MIMI,意大利,"22,793.30","2,695.00","50,071"
304,DEERE,美国,"22,768.90","1,693.80","46,549"
305,EAST JAPAN RAILWAY,日本,"22,719.20","1,503.60","71,316"
306,BAE SYSTEMS,英国,"22,690.90","3,010.00","79,000"
307,BAOSTEEL GROUP,中国,"22,663.40","1,622.20","91,308"
308,MERCK,美国,"22,636.00","4,433.80","60,000"
309,ITOCHU,日本,"22,632.50","1,513.80","45,690"
310,HALLIBURTON,美国,"22,576.00","2,348.00","104,000"
311,AMR,美国,"22,563.00",231,"86,600"
312,ABBOTT LABORATORIES,美国,"22,476.30","1,716.80","66,663"
313,RIO TINTO GROUP,英国,"22,465.00","7,438.00","30,642"
314,SCOTTISH & SOUTHERN ENERGY,英国,"22,444.60","1,570.70","13,427"
315,PLAINS ALL AMERICAN PIPELINE,美国,"22,444.40",285.1,"2,900"
316,GROUPAMA,法国,"22,442.00",944.8,"30,493"
317,MITSUBISHI CHEMICAL HOLDINGS,日本,"22,424.00",857.8,"33,447"
318,NATIONWIDE,美国,"22,253.00","2,113.00","35,877"
319,WEYERHAEUSER,美国,"22,250.00",453,"46,700"
320,LYONDELL CHEMICAL,美国,"22,228.00",186,"10,905"
321,KANSAI ELECTRIC POWER,日本,"22,197.90","1,264.80","29,805"
322,COMPASS GROUP,英国,"22,053.60",512.5,"406,924"
323,ROSNEFT OIL,俄罗斯,"21,959.00","3,533.00","70,000"
324,COSMO OIL,日本,"21,956.60",226.9,"6,103"
325,BHARAT PETROLEUM,印度,"21,862.20",473.1,"14,654"
326,PUBLIX SUPER MARKETS,美国,"21,819.70","1,097.20","103,000"
327,CPC,中国台湾,"21,796.10",-429.1,"14,729"
328,ALLIANCE BOOTS,英国,"21,754.00",731.9,"100,000"
329,MODONALD'S,美国,"21,586.40","3,544.20","465,000"
330,AMERICA MOVIL,墨西哥,"21,486.60","3,927.80","60,815"
331,TECH DATA,美国,"21,446.10",-97,"8,000"
332,HUMANA,美国,"21,416.50",487.4,"22,300"
333,SUN LIFE FINANCIAL,加拿大,"21,405.40","1,883.40","14,264"
334,POSTE ITALIANE,意大利,"21,398.80",847.7,"147,808"
335,ELECTRONIC DATA SYSTEMS,美国,"21,337.00",470,"131,000"
336,HINDUSTAN PETROLEUM,印度,"20,935.60",370.2,"10,891"
337,INTESA SANPAOLO,意大利,"20,790.80","3,210.70","55,665"
338,EDEKA ZENTRALE,德国,"20,733.10",170.9,"253,000"
339,NORTHWESTERN MUTUAL,美国,"20,726.20",829.4,"4,840"
340,COMMONWEALEH BANK OF AUSTRALIA,澳大利亚,"20,614.00","2,934.40","36,664"
341,MICHELIN,法国,"20,556.20",717.7,"115,755"
