2009排名,2008排名,公司名称,国家/地区,营业收入百万美元,利润百万美元
1,3,Royal Dutch Shell,荷兰,458361.0,26277.0
2,2,Exxon Mobil,美国,442851.0,45220.0
3,1,Wal-Mart Stores,美国,405607.0,13400.0
4,4,BP,英国,367053.0,21157.0
5,6,Chevron,美国,263159.0,23931.0
6,8,Total,法国,234674.1,15500.4
7,10,ConocoPhillips,美国,230764.0,-16998.0
8,7,ING Group,荷兰,226577.0,-1067.0
9,16,Sinopec,中国,207814.5,1961.2
10,5,Toyota Motor,日本,204352.3,-4349.3
11,.,Japan Post Holdings,日本,198699.8,4208.5
12,12,General Electric,美国,183207.0,17410.0
13,25,China National Petroleum,中国,181122.6,10270.8
14,18,Volkswagen,德国,166579.1,6956.9
15,24,State Grid,中国,164135.9,664.5
16,19,Dexia Group,比利时,161268.8,-4868.2
17,27,ENI,意大利,159348.5,12917.0
18,9,General Motors,美国,148979.0,-30860.0
19,13,Ford Motor,美国,146277.0,-14672.0
20,22,Allianz,德国,142394.6,-3577.2
21,20,HSBC Holdings,英国,142049.0,5728.0
22,47,Gazprom,俄罗斯,141454.7,29864.1
23,11,Daimler,德国,140327.9,1973.0
24,21,BNP Paribas,法国,136096.4,4421.8
25,33,Carrefour,法国,129133.9,1861.5
26,52,E.ON,德国,127277.7,1853.0
27,.,PDVSA,委内瑞拉,126364.0,7451.0
28,39,ArcelorMittal,卢森堡,124936.0,9399.0
29,29,AT&T,美国,124028.0,12867.0
30,37,Siemens,德国,123595.4,8595.1
31,42,Pemex,墨西哥,119234.6,-10055.6
32,41,Hewlett-Packard,美国,118364.0,8329.0
33,49,Valero Energy,美国,118298.0,-1131.0
34,63,Petrobras,巴西,118257.0,18879.0
35,58,Banco Santander,西班牙,117803.0,12992.3
36,59,Statoil Hydro,挪威,116210.9,7664.2
37,28,Bank of America Corp.,美国,113106.0,4008.0
38,36,Royal Bank of Scotland,英国,113087.4,-43166.9
39,17,Citigroup,美国,112372.0,-27684.0
40,38,Samsung Electronics,韩国,110350.0,5027.3
41,30,Berkshire Hathaway,美国,107786.0,4994.0
42,44,McKesson,美国,106632.0,823.0
43,43,Société Générale,法国,104378.3,2942.0
44,54,Nippon Telegraph & Telephone,日本,103684.4,5362.0
45,46,International Business Machines,美国,103630.0,12334.0
46,23,Crédit Agricole,法国,103582.1,1498.8
47,34,Assicurazioni Generali,意大利,103103.0,1260.1
48,57,Nestlé,瑞士,101564.6,16669.6
49,32,J.P. Morgan Chase & Co.,美国,101491.0,5605.0
50,56,Metro,德国,101216.7,589.9
51,40,Honda Motor,日本,99652.4,1363.8
52,48,Hitachi,日本,99544.2,-7837.2
53,193,GDF Suez,法国,99419.1,7109.3
54,55,Deutsche Post,德国,98708.0,-2470.7
55,53,Verizon Communications,美国,97354.0,6428.0
56,51,Tesco,英国,94300.4,3751.0
57,68,électricité de France,法国,94084.2,4976.5
58,77,UniCredit Group?,意大利,94036.0,5872.0
59,73,BASF,德国,91193.4,4262.3
60,60,Cardinal Health,美国,91091.4,1300.6
61,64,Deutsche Telekom,德国,90259.6,2170.6
62,109,Enel,意大利,90004.9,7747.3
63,80,CVS Caremark,美国,87471.9,3212.1
64,71,Fiat,意大利,86913.6,2359.5
65,90,Lukoil,俄罗斯,86340.0,9144.0
66,76,Telefónica?,西班牙,84814.7,11112.3
67,50,Nissan Motor,日本,83982.0,-2326.4
68,79,Procter & Gamble,美国,83503.0,12075.0
69,67,LG,韩国,82081.8,829.8
70,26,Deutsche Bank,德国,81360.4,-5613.2
71,81,UnitedHealth Group,美国,81186.0,2977.0
72,86,SK Holdings?,韩国,80810.4,259.3
73,15,AXA,法国,80256.8,1351.0
74,89,ThyssenKrupp,德国,80210.0,3295.4
75,66,Peugeot,法国,79560.1,-502.0
76,92,Repsol YPF,西班牙,79176.6,3968.1
77,84,France Télécom?,法国,78289.6,5955.7
78,78,BMW,德国,77863.7,474.2
79,72,Panasonic,日本,77298.2,-3772.2
80,95,Petronas,马来西亚,76965.4,15308.9
81,75,Sony,日本,76944.7,-984.8
82,87,Kroger,美国,76000.0,1249.4
83,70,Barclays,英国,75135.5,8035.2
84,83,U.S. Postal Service,美国,74932.0,-2806.0
85,88,Nokia,芬兰,74223.5,5837.2
86,108,Marathon Oil,美国,73504.0,3528.0
87,82,Hyundai Motor,韩国,72541.8,780.4
88,99,Costco Wholesale,美国,72483.0,1282.7
89,114,Rwe,德国,71850.8,3744.1
90,65,Home Depot,美国,71288.0,2260.0
91,96,AmerisourceBergen,美国,70593.5,250.6
92,133,Industrial & Commercial Bank of China,中国,70567.5,15948.5
93,158,Archer Daniels Midland,美国,69816.0,1802.0
94,85,Vodafone,英国,69138.4,5188.3
95,98,Munich Re Group,德国,67515.4,2199.9
96,115,Nippon Life Insurance,日本,66621.1,1513.9
97,91,Toshiba,日本,66239.4,-3419.8
98,101,Robert Bosch,德国,66051.7,503.5
99,148,China Mobile Communications,中国,65015.1,11442.0
100,102,Target,美国,64948.0,2214.0
101,117,Nippon Oil,日本,64197.5,-2504.6
102,110,Saint-Gobain,法国,64109.4,2017.0
103,107,Johnson & Johnson,美国,63747.0,12949.0
104,127,EADS,荷兰,63326.3,2300.9
105,116,Indian Oil,印度,62993.2,564.9
106,131,A.P. M?ller-M?rsk Group?,丹麦,62636.6,3329.5
107,45,HBOS,英国,62400.5,-13750.8
108,62,Morgan Stanley,美国,62262.0,1707.0
109,132,Hon Hai Precision Industry,中国台湾,61860.6,1748.6
110,124,Groupe Caisse d'épargne,法国,61550.9,-2949.3
111,104,State Farm Insurance Cos.,美国,61343.4,-541.8
112,105,WellPoint,美国,61251.1,2490.7
113,134,Banco Bilbao Vizcaya Argentaria,西班牙,61183.5,7347.7
114,130,Mitsubishi,日本,61181.6,3682.4
115,106,Dell,美国,61101.0,2478.0
116,93,Boeing,美国,60909.0,2672.0
117,136,Microsoft,美国,60420.0,17681.0
118,135,PTT,泰国,59984.6,1550.1
119,31,UBS,瑞士,59881.8,-19301.4
120,183,BHP Billiton,澳大利亚,59473.0,15390.0
121,122,Unilever,英国/荷兰,59312.9,7357.9
