排名,上年排名,公司名称(中文),营业收入(百万美元),利润(百万美元),国家
1,1,荷兰皇家壳牌石油公司（ROYAL DUTCH SHELL),481700.0,26592.0,荷兰
2,3,沃尔玛（WAL-MART STORES),469162.0,16999.0,美国
3,2,埃克森美孚（EXXON MOBIL),449886.0,44880.0,美国
4,5,中国石油化工集团公司（SINOPEC GROUP),428167.4,8221.1,中国
5,6,中国石油天然气集团公司（CHINA NATIONAL PETROLEUM),408630.0,18195.9,中国
6,4,英国石油公司（BP),388285.0,11582.0,英国
7,7,国家电网公司（STATE GRID),298448.8,12317.9,中国
8,10,丰田汽车公司（TOYOTA MOTOR),265701.8,11586.6,日本
9,12,大众公司（VOLKSWAGEN),247613.3,27909.1,德国
10,11,道达尔公司（TOTAL),234277.5,13743.2,法国
11,8,雪佛龙（CHEVRON),233899.0,26179.0,美国
12,14,嘉能可斯特拉塔（GLENCORE XSTRATA),214436.0,1004.0,瑞士
13,13,日本邮政控股公司（JAPAN POST HOLDINGS),190859.3,6776.8,日本
14,20,三星电子（SAMSUNG ELECTRONICS),178554.8,20585.7,韩国
15,16,意昂集团（E.ON),169756.4,2849.1,德国
16,--,Phillips 66公司（Phillips 66),169551.0,4124.0,美国
17,17,埃尼石油公司（ENI),167904.5,10008.6,意大利
18,24,伯克希尔－哈撒韦公司（BERKSHIRE HATHAWAY),162463.0,14824.0,美国
19,55,苹果公司（APPLE),156508.0,41733.0,美国
20,25,安盛（AXA),154571.3,5335.9,法国
21,15,俄罗斯天然气工业股份公司（GAZPROM),153527.8,38086.2,俄罗斯
22,19,通用汽车公司（GENERAL MOTORS),152256.0,6188.0,美国
23,21,戴姆勒股份公司（DAIMLER),146886.3,7832.9,德国
24,22,通用电气公司（GENERAL ELECTRIC),146874.0,13641.0,美国
25,23,巴西国家石油公司（PETROBRAS),144103.0,11034.0,巴西
26,45,EXOR集团（EXOR GROUP),142226.4,511.5,意大利
27,35,瓦莱罗能源公司（VALERO ENERGY),138286.0,2083.0,美国
28,27,福特汽车公司（FORD MOTOR),134252.0,5665.0,美国
29,54,中国工商银行（INDUSTRIAL & COMMERCIAL BANK OF CHINA),133636.0,37806.5,中国
30,43,鸿海精密工业股份有限公司（HON HAI PRECISION INDUSTRY),132076.1,3204.8,中国
31,28,安联保险集团（ALLIANZ),130774.6,6642.8,德国
32,29,日本电报电话公司（NIPPON TELEGRAPH & TELEPHONE),128860.6,6311.0,日本
33,18,荷兰国际集团（ING GROUP),128349.6,4188.2,荷兰
34,32,美国电话电报公司（AT&T),127434.0,7264.0,美国
35,26,房利美（FANNIE MAE),127230.0,17220.0,美国
36,34,墨西哥石油公司（PEMEX),125195.4,197.7,墨西哥
37,33,苏伊士集团（GDF SUEZ),124706.2,1991.9,法国
38,36,委内瑞拉国家石油公司（PDVSA),124459.0,2678.0,委内瑞拉
39,40,挪威国家石油公司（STATOIL),124381.6,11846.7,挪威
40,56,CVS Caremark公司（CVS CAREMARK),123133.0,3876.9,美国
41,30,法国巴黎银行（BNP PARIBAS),123029.2,8421.4,法国
42,37,麦克森公司（MCKESSON),122455.0,1338.0,美国
43,31,惠普（HEWLETT-PACKARD),120357.0,-12650.0,美国
44,41,JX控股公司（JX HOLDINGS),119499.4,1920.5,日本
45,64,本田汽车（HONDA MOTOR),118952.4,4421.3,日本
46,49,卢克石油公司（LUKOIL),116335.0,11004.0,俄罗斯
47,42,日产汽车（NISSAN MOTOR),115961.4,4123.8,日本
48,50,威瑞森电信（VERIZON COMMUNICATIONS),115846.0,875.0,美国
49,48,意大利忠利保险公司（ASSICURAZIONI GENERALI),113794.2,115.7,意大利
50,77,中国建设银行（CHINA CONSTRUCTION BANK),113369.9,30618.2,中国
51,63,联合健康集团（UNITEDHEALTH GROUP),110618.0,5526.0,美国
52,52,意大利国家电力公司（ENEL),109093.2,1111.6,意大利
53,47,西门子（SIEMENS),108988.5,5782.0,德国
54,38,日立（HITACHI),108874.5,2111.3,日本
55,51,摩根大通（J.P. MORGAN CHASE & CO.),108184.0,21284.0,美国
56,61,康德乐（CARDINAL HEALTH),107552.0,1069.0,美国
57,65,SK集团（SK HOLDINGS),106258.8,931.3,韩国
58,44,西班牙国家银行（BANCO SANTANDER),106077.0,2833.7,西班牙
59,39,家乐福（CARREFOUR),105996.1,1584.6,法国
60,53,汇丰银行控股公司（HSBC HOLDINGS),105294.0,14027.0,英国
61,67,法国兴业银行（SOCIéTé GéNéRALE),105064.4,994.7,法国
62,57,国际商业机器公司（INTERNATIONAL BUSINESS MACHINES),104507.0,16604.0,美国
63,59,乐购（TESCO),104424.9,196.6,英国
64,84,中国农业银行（AGRICULTURAL BANK OF CHINA),103478.7,22996.9,中国
65,62,巴斯夫公司（BASF),101176.8,6270.1,德国
66,46,美国银行（BANK OF AMERICA CORP.),100078.0,4188.0,美国
67,78,好市多（COSTCO WHOLESALE),99137.0,1709.0,美国
68,69,宝马（BMW),98759.5,6549.0,德国
69,71,雀巢公司（NESTLé),98483.8,11319.0,瑞士
70,93,中国银行（BANK OF CHINA),98428.7,22099.5,中国
71,81,中国移动通信集团公司（CHINA MOBILE COMMUNICATIONS),96874.5,11850.6,中国
72,75,克罗格（KROGER),96751.3,1496.5,美国
73,58,法国农业信贷银行（CRéDIT AGRICOLE),95181.7,-8316.1,法国
74,213,美国快捷药方控股公司（EXPRESS SCRIPTS HOLDING),94416.7,1312.9,美国
75,68,马来西亚国家石油公司（PETRONAS),94272.5,16001.1,马来西亚
76,91,来宝集团（NOBLE GROUP),94045.1,471.3,中国
77,73,法国电力公司（éLECTRICITé DE FRANCE),93466.1,4261.5,法国
78,80,美国富国银行（WELLS FARGO),91247.0,18897.0,美国
