排名,公司名称(中文),营业收入(百万美元),利润(百万美元),国家,关键数据
1,沃尔玛（WALMART),"572,754","13,673",美国,+
2,亚马逊（AMAZON.COM),"469,822","33,364",美国,+
3,国家电网有限公司（STATE GRID),"460,616.9","7,137.8",中国,+
4,中国石油天然气集团有限公司（CHINA NATIONAL PETROLEUM),"411,692.9","9,637.5",中国,+
5,中国石油化工集团有限公司（SINOPEC GROUP),"401,313.5","8,316.1",中国,+
6,沙特阿美公司（SAUDI ARAMCO),"400,399.1","105,369.1",沙特阿拉伯,+
7,苹果公司（APPLE),"365,817","94,680",美国,+
8,大众公司（VOLKSWAGEN),"295,819.8","18,186.6",德国,+
9,中国建筑集团有限公司（CHINA STATE CONSTRUCTION ENGINEERING),"293,712.4","4,443.8",中国,+
10,CVS Health公司（CVS HEALTH),"292,111","7,910",美国,+
11,联合健康集团（UNITEDHEALTH GROUP),"287,597","17,285",美国,+
12,埃克森美孚（EXXON MOBIL),"285,640","23,040",美国,+
13,丰田汽车公司（TOYOTA MOTOR),"279,337.7","25,371.4",日本,+
14,伯克希尔－哈撒韦公司（BERKSHIRE HATHAWAY),"276,094","89,795",美国,+
15,壳牌公司（SHELL),"272,657","20,101",英国,+
16,麦克森公司（MCKESSON),"263,966","1,114",美国,+
17,Alphabet公司（ALPHABET),"257,637","76,033",美国,+
18,三星电子（SAMSUNG ELECTRONICS),"244,334.9","34,293.5",韩国,+
19,托克集团（TRAFIGURA GROUP),"231,308.1","3,100",新加坡,+
20,鸿海精密工业股份有限公司（HON HAI PRECISION INDUSTRY),"214,619.2","4,988.3",中国,+
21,美源伯根公司（AMERISOURCEBERGEN),"213,988.8","1,539.9",美国,+
22,中国工商银行股份有限公司（INDUSTRIAL & COMMERCIAL BANK OF CHINA),"209,000.4","54,003.1",中国,+
23,嘉能可（GLENCORE),"203,751","4,974",瑞士,+
24,中国建设银行股份有限公司（CHINA CONSTRUCTION BANK),"200,434","46,898.9",中国,+
25,中国平安保险（集团）股份有限公司（PING AN INSURANCE),"199,629.4","15,753.9",中国,+
26,开市客（COSTCO WHOLESALE),"195,929","5,007",美国,+
27,道达尔能源公司（TOTALENERGIES),"184,634","16,032",法国,+
28,中国农业银行股份有限公司（AGRICULTURAL BANK OF CHINA),"181,411.7","37,390.8",中国,+
29,Stellantis集团（STELLANTIS),"176,663","16,789.1",荷兰,+
30,信诺（CIGNA),"174,078","5,365",美国,+
31,中国中化控股有限责任公司（SINOCHEM HOLDINGS),"172,260.3",-197.7,中国,+
32,美国电话电报公司（AT&T),"168,864","20,081",美国,+
33,微软（MICROSOFT),"168,088","61,271",美国,+
34,中国铁路工程集团有限公司（CHINA RAILWAY ENGINEERING GROUP),"166,452.1","1,853.2",中国,+
35,英国石油公司（BP),"164,195","7,565",英国,+
36,嘉德诺（CARDINAL HEALTH),"162,467",611,美国,+
37,雪佛龙（CHEVRON),"162,465","15,625",美国,+
38,梅赛德斯-奔驰集团（MERCEDES-BENZ GROUP),"158,306.1","27,200.8",德国,+
