2008排名,2007排名,公司,国家地区,营业收入百万美元,利润百万美元,资产百万美元,股东权益百万美元,雇员人数,ticker
1,1,WAL-MART STORES,美国,"378,799.0","12,731.0","163,514.0","64,608.0","2,055,000",WMT
2,2,EXXON MOBIL,美国,"372,824.0","40,610.0","242,082.0","121,762.0","107,100",XOM
3,3,ROYAL DUTCH SHELL,荷兰,"355,782.0","31,331.0","269,470.0","123,960.0","104,000",SHEL
4,4,BP,英国,"291,438.0","20,845.0","236,076.0","93,690.0","97,600",BP
5,6,TOYOTA MOTOR,日本,"230,200.8","15,042.5","326,099.0","119,249.6","316,121",TM
6,7,CHEVRON,美国,"210,783.0","18,688.0","148,786.0","77,088.0","65,035",CVX
7,13,ING GROUP,荷兰,"201,516.0","12,648.7","1,918,969.7","54,400.4","120,282",ING
8,10,TOTAL,法国,"187,279.5","18,041.7","166,003.9","65,585.1","96,442",TTE
9,5,GENERAL MOTORS,美国,"182,347.0","-38,732.0","148,883.0","-37,094.0","266,000",GM
10,9,CONOCOPHILLIPS,美国,"178,558.0","11,891.0","177,757.0","88,983.0","32,600",COP
11,8,DAIMLER,德国,"177,167.1","5,446.3","197,515.7","53,684.0","272,382",MBG.DE
12,11,GENERAL ELECTRIC,美国,"176,656.0","22,208.0","795,337.0","115,559.0","327,000",GE
13,12,FORD MOTOR,美国,"172,468.0","-2,723.0","279,264.0","5,628.0","246,000",F
14,20,FORTIS,比利时 / 荷兰,"164,877.0","5,466.8","1,273,716.8","48,316.7","62,009",
15,15,AXA,法国,"162,762.3","7,755.4","1,056,963.4","66,731.4","103,534",CS.PA
16,17,SINOPEC,中国,"159,259.6","4,165.8","136,302.6","48,415.9","634,011",0386.HK
17,14,CITIGROUP,美国,"159,229.0","3,617.0","2,187,631.0","113,598.0","380,500",C
18,16,VOLKSWAGEN,德国,"149,054.1","5,639.3","212,520.8","46,603.2","329,305",VWAGY
19,36,DEXIA GROUP,比利时,"147,648.4","3,467.1","883,909.4","21,236.4","35,202",
20,22,HSBC HOLDINGS,英国,"146,500.0","19,133.0","2,354,266.0","128,160.0","322,282",HSBC
21,25,BNP PARIBAS,法国,"140,726.5","10,706.5","2,477,395.1","78,657.4","162,700",BNP.PA
22,19,ALLIANZ,德国,"140,618.4","10,903.6","1,551,464.5","69,817.8","181,207",ALV.DE
23,18,CREDIT AGRICOLE,法国,"138,154.6","8,171.5","2,252,835.7","94,678.7","163,126",ACA.PA
24,29,STATE GRID,中国,"132,885.1","4,422.7","186,436.1","71,415.0","1,486,000",
25,24,CHINA NATIONAL PETROLEUM,中国,"129,798.3","14,925.3","218,919.9","141,804.9","1,117,345",0857.HK
26,35,DEUTSCHE BANK,德国,"122,643.8","8,861.4","2,953,873.4","54,160.6","78,291",DBK.DE
27,26,ENI,意大利,"120,564.7","13,702.7","148,340.7","59,108.2","75,862",E
28,21,BANK OF AMERICA CORP.,美国,"119,190.0","14,982.0","1,715,746.0","146,803.0","209,718",BAC
29,86,AT&T,美国,"118,928.0","11,951.0","275,644.0","115,367.0","309,050",T
30,33,BERKSHIRE HATHAWAY,美国,"118,245.0","13,213.0","273,160.0","120,733.0","232,781",BRK-B
31,27,UBS,瑞士,"117,206.1","-3,653.5","2,007,346.3","31,431.9","83,560",UBS
32,31,J.P. MORGAN CHASE & CO.,美国,"116,353.0","15,365.0","1,562,147.0","123,221.0","180,667",JPM
33,32,CARREFOUR,法国,"115,584.7","3,147.3","75,927.8","15,546.1","490,042",CA.PA
34,30,ASSICURAZIONI GENERALI,意大利,"113,812.6","3,990.8","559,301.9","21,623.3","67,306",G.MI
35,23,AMERICAN INTERNATIONAL GROUP,美国,"110,064.0","6,200.0","1,060,505.0","95,801.0","116,000",AIG
36,54,ROYAL BANK OF SCOTLAND,英国,"108,392.0","15,103.0","3,783,151.3","105,576.8","233,600",NWG.L
37,28,SIEMENS,德国,"106,444.0","5,062.6","130,203.0","41,236.1","386,200",SIE.DE
38,46,SAMSUNG ELECTRONICS,韩国,"106,006.5","7,985.5","99,753.6","55,195.0","144,000",005930.KS
39,99,ARCELORMITTAL,卢森堡,"105,216.0","10,368.0","133,625.0","56,685.0","311,466",MT
40,37,HONDA MOTOR,日本,"105,102.4","5,254.2","126,744.6","45,654.9","178,960",HMC
41,41,HEWLETT-PACKARD,美国,"104,286.0","7,264.0","88,699.0","38,526.0","172,000",HPQ
42,34,PEMEX,墨西哥,"103,960.5","-1,675.4","121,883.0","4,572.7","141,146",
43,49,SOCIETE GENERALE,法国,"103,442.8","1,296.2","1,566,981.4","39,828.0","134,738",GLE.PA
44,38,MCKESSON,美国,"101,703.0",990,"24,603.0","6,121.0","32,900",MCK
45,58,HBOS,英国,"100,267.3","8,092.7","1,327,617.0","43,492.4","65,608",
46,42,INTERNATIONAL BUSINESS MACHINES,美国,"98,786.0","10,418.0","120,431.0","28,470.0","386,558",IBM
47,52,GAZPROM,俄罗斯,"98,641.5","19,269.2","279,811.8","202,334.7","436,096",
48,48,HITACHI,日本,"98,306.5",-509,"105,800.3","21,807.5","389,752",6501.T
49,43,VALERO ENERGY,美国,"96,758.0","5,234.0","42,722.0","18,507.0","21,651",VLO
50,45,NISSAN MOTOR,日本,"94,782.1","4,222.9","119,952.4","38,862.0","159,227",7201.T
51,55,TESCO,英国,"94,703.0","4,252.8","60,001.9","23,502.3","345,754",TSCO.L
52,53,E.ON,德国,"94,355.6","9,860.6","200,732.2","72,187.8","87,815",EOAN.DE
53,39,VERIZON COMMUNICATIONS,美国,"93,775.0","5,521.0","186,959.0","50,581.0","234,971",VZ
54,40,NIPPON TELEGRAPH & TELEPHONE,日本,"93,526.9","5,561.7","186,052.6","74,453.7","193,850",9432.T
55,57,DEUTSCHE POST,德国,"90,472.4","1,901.2","344,265.7","16,167.5","475,100",DHL.DE
56,62,METRO,德国,"90,267.1","1,129.2","49,522.9","9,145.2","242,378",
57,56,NESTLE,瑞士,"89,630.0","8,874.5","101,277.1","46,006.2","276,000",NESN.SW
58,75,SANTANDER CENTRAL HISPANO GROUP,西班牙,"89,295.2","12,401.3","1,334,737.4","79,649.9","131,819",SAN
59,78,STATOIL HYDRO,挪威,"89,223.9","7,525.7","88,992.3","32,648.0","29,500",EQNR
60,51,CARDINAL HEALTH,美国,"88,363.9","1,931.1","23,153.8","7,376.9","43,500",CAH
61,72,GOLDMAN SACHS GROUP,美国,"87,968.0","11,599.0","1,119,796.0","42,800.0","30,522",GS
62,61,MORGAN STANLEY,美国,"87,879.0","3,209.0","1,045,409.0","31,269.0","48,256",MS
63,65,PETROBRAS,巴西,"87,735.0","13,138.0","129,715.0","65,179.0","68,931",PBR
64,60,DEUTSCHE TELEKOM,德国,"85,569.5",778.8,"176,418.1","61,582.0","241,426",DTE.DE
65,44,HOME DEPOT,美国,"84,740.0","4,395.0","44,324.0","17,714.0","276,385",HD
66,68,PEUGEOT,法国,"82,964.8","1,211.4","100,845.7","20,827.1","207,800",
67,73,LG,韩国,"82,095.6","2,916.1","57,774.4","5,470.9","160,000",066570.KS
68,63,ELECTRICITE DE FRANCE,法国,"81,628.9","7,689.7","272,161.2","39,782.7","154,033",
69,50,AVIVA,英国,"81,317.0","2,654.9","636,431.0","25,975.2","57,011",AV.L
70,83,BARCLAYS,英国,"80,346.7","8,836.9","2,443,170.7","46,362.8","128,900",BARC.L
71,84,FIAT,意大利,"80,112.3","2,673.2","87,922.5","15,506.6","185,227",
72,59,MATSUSHITA ELECTRIC INDUSTRIAL,日本,"79,411.8","2,468.2","74,783.8","37,598.1","305,828",6752.T
73,81,BASF,德国,"79,321.5","5,564.7","68,427.5","27,964.4","95,175",BAS.DE
74,47,CREDIT SUISSE,瑞士,"78,206.3","6,466.9","1,201,875.0","38,157.2","48,100",
75,69,SONY,日本,"77,682.2","3,234.9","126,113.6","34,812.7","180,500",SONY
76,77,TELEFONICA,西班牙,"77,254.3","12,190.2","154,792.8","29,424.0","248,487",TEF
77,97,UNICREDIT GROUP,意大利,"77,029.6","8,159.4","1,493,873.0","84,396.2","169,816",UCG.MI
78,88,BMW,德国,"76,675.3","4,278.8","130,119.0","31,775.0","107,539",BMW.DE
